"","x"
"1",474.63115441286
"2",440.314677171823
"3",373.029638835964
"4",321.528682815929
"5",286.688805041437
"6",261.774678565253
"7",255.870755205699
"8",255.618409589344
"9",253.147055051957
"10",271.545308404188
"11",320.291189902761
"12",363.651231796623
"13",405.60251581689
"14",394.857548885693
"15",389.930395791957
"16",389.464965695295
"17",382.269934303051
"18",380.349673188721
"19",390.045125890894
"20",382.072298792053
"21",418.867674505527
"22",475.959790806259
"23",487.983409430063
"24",497.557881431595
"25",475.460875709064
"26",440.896935710073
"27",378.540373277085
"28",327.374069840546
"29",288.494303709322
"30",258.737978500742
"31",258.82386641117
"32",254.385824644249
"33",253.918912300319
"34",274.672079664687
"35",315.464390201264
"36",372.524385082817
"37",408.287947820504
"38",407.095727917623
"39",406.919529648112
"40",398.825727457004
"41",394.899515253562
"42",398.893019231487
"43",399.236589361378
"44",406.310079503811
"45",435.676616218598
"46",475.192247625774
"47",490.125752447343
"48",499.960752508779
"49",479.705277909372
"50",446.273056073488
"51",383.480265091235
"52",332.310597896728
"53",291.458868739799
"54",271.587146191928
"55",260.9274276188
"56",258.895257396414
"57",261.817728226418
"58",283.539269568792
"59",320.586201336181
"60",376.577925203019
"61",411.713131776916
"62",402.763122364914
"63",404.402058100063
"64",392.704968734571
"65",385.674169022141
"66",375.204348334019
"67",377.753448347604
"68",378.42903123318
"69",418.877979516583
"70",461.56152003346
"71",496.878116345276
"72",507.647464210648
"73",482.343844549569
"74",445.522778136614
"75",387.655372054916
"76",340.573207250905
"77",302.033696920647
"78",280.710087623448
"79",271.27323300387
"80",271.199044884735
"81",266.278720183782
"82",288.133548500075
"83",322.382957264201
"84",348.542798088728
"85",357.932395442085
"86",390.09288637458
"87",420.282804439645
"88",424.506243329942
"89",427.392048922779
"90",430.347291608175
"91",430.001227011966
"92",416.185089377014
"93",450.652279225994
"94",482.789329428822
"95",508.129918011603
"96",515.497158555541
"97",488.825359054662
"98",456.51291444632
"99",401.228733882526
"100",352.463209941834
"101",317.730996197077
"102",294.444184895207
"103",281.973293376976
"104",276.417025071007
"105",275.164119997475
"106",292.533228810072
"107",323.012899727266
"108",340.823464528847
"109",336.431081947787
"110",369.228598649668
"111",380.777896450516
"112",366.989301965421
"113",365.775511441399
"114",382.386971957583
"115",375.625947840517
"116",376.757308480694
"117",400.186637539559
"118",433.79473364264
"119",466.419228567661
"120",494.313100331724
"121",469.891412429366
"122",441.592071408461
"123",388.98780016403
"124",334.829726305566
"125",302.350111023646
"126",278.917583294592
"127",273.651298815132
"128",267.781184763058
"129",270.866276475317
"130",291.923765565345
"131",337.210764974835
"132",390.379953284266
"133",414.70189711788
"134",414.454526797994
"135",426.309734851117
"136",416.370874622852
"137",407.512178450255
"138",413.315591304897
"139",410.813108502527
"140",410.280578235454
"141",433.200322093032
"142",442.427447775876
"143",509.873324127175
"144",511.599956050511
"145",492.470504019823
"146",458.381461398998
"147",392.811080545633
"148",340.197585633089
"149",301.726475275978
"150",283.247094835195
"151",274.494293283968
"152",273.936656636239
"153",275.601993118846
"154",298.112264572702
"155",342.398981193592
"156",392.941243942391
"157",422.630878511682
"158",419.201557464587
"159",421.63432455009
"160",409.752237641504
"161",402.704022963378
"162",405.777052766726
"163",401.248787898599
"164",404.345762177161
"165",425.887797110063
"166",466.092992106443
"167",504.177382406673
"168",519.501502281087
"169",489.123541266763
"170",454.472744580731
"171",391.712600538134
"172",341.793827725016
"173",304.831990500751
