"","x"
"1",301.3310616159
"2",274.177433769614
"3",228.895358051364
"4",187.665794983978
"5",158.53721725516
"6",140.625590408281
"7",137.630881261916
"8",135.298230057976
"9",136.669419516745
"10",149.192152387596
"11",182.01740992003
"12",208.127361944773
"13",233.45859365601
"14",227.705883996569
"15",223.505030234505
"16",221.610869631904
"17",216.21539211117
"18",217.817783938894
"19",226.076154238964
"20",224.417905547646
"21",252.907047832829
"22",303.104749874596
"23",312.726714562575
"24",321.541108620188
"25",305.999943629632
"26",273.511087475672
"27",234.453696242899
"28",191.890827267658
"29",160.634318442866
"30",135.455417629657
"31",136.470505422242
"32",130.444506927149
"33",133.047344480341
"34",147.250944512617
"35",175.327259645901
"36",216.383696722933
"37",236.797819587773
"38",236.585645865008
"39",236.793963501091
"40",231.125018207993
"41",225.094355653457
"42",227.181989848646
"43",232.399159869146
"44",240.502305158748
"45",269.832909876675
"46",304.490791469948
"47",314.032551045983
"48",325.366055622607
"49",306.181770795667
"50",275.94799118569
"51",238.019456524871
"52",192.795705413849
"53",163.363283522054
"54",148.66045279251
"55",140.570204812769
"56",136.919230015071
"57",142.125980112586
"58",156.546794299672
"59",181.143677295624
"60",219.064527531835
"61",237.65420137656
"62",233.028961150312
"63",232.940937224245
"64",224.30413740573
"65",219.136519487839
"66",211.098951738756
"67",218.240811654653
"68",220.517681948579
"69",254.821918883851
"70",295.991673075084
"71",322.086263455446
"72",329.286419724406
"73",313.084439776056
"74",278.142743844034
"75",242.956492359441
"76",203.073073358889
"77",170.106980495608
"78",155.396875892296
"79",147.11021741221
"80",146.502554614182
"81",144.206127322351
"82",164.031163640834
"83",187.539461603566
"84",204.522182307481
"85",215.719364052455
"86",245.747276727908
"87",263.51204545997
"88",270.39886873215
"89",268.937227354499
"90",269.274761285575
"91",276.481564107717
"92",276.908653728905
"93",300.558448779596
"94",324.663738421132
"95",344.975342157436
"96",346.293524860424
"97",330.644456424088
"98",303.030706800916
"99",266.595852979915
"100",222.234370823816
"101",192.648028978446
"102",176.020965282487
"103",166.111173721665
"104",160.276161268286
"105",163.303188344109
"106",175.011563841247
"107",197.419993207124
"108",209.64012598563
"109",209.579669226416
"110",231.228579479902
"111",241.872461276946
"112",238.706330811673
"113",238.331154327923
"114",250.935131972486
"115",248.441613103696
"116",250.913921989714
"117",261.704616085469
"118",292.081118730519
"119",319.989737329922
"120",336.866946622604
"121",324.806856962144
"122",298.638376821761
"123",256.415372388964
"124",211.81019983399
"125",181.645053426126
"126",163.16026993282
"127",158.40092220994
"128",155.010034424343
"129",157.460309726361
"130",171.111065978767
"131",202.462910145149
"132",236.757929536818
"133",247.62620263948
"134",251.942557013748
"135",256.386153987513
"136",248.874678754855
"137",242.460290929268
"138",244.791040122886
"139",242.709969284154
"140",248.234634262366
"141",270.105609808796
"142",285.605982542031
"143",331.902424147834
"144",342.82118121155
"145",325.933762462773
"146",296.29188315206
"147",246.276164558641
"148",206.072630783303
"149",173.698728460982
"150",160.853266338259
"151",152.647887493796
"152",152.091517718392
"153",152.496017955693
"154",171.305646590184
"155",200.893894263354
"156",233.332495630364
"157",251.249376405962
"158",249.440293599397
"159",247.88816867799
"160",240.259066624012
"161",234.473114293773
"162",237.743277913221
"163",236.065791881695
"164",241.786371714344
"165",262.480261012176
"166",299.773164357068
"167",331.285184762906
"168",341.515005211014
"169",319.215890496858
"170",285.109697677093
"171",244.479911756821
"172",204.749951128758
"173",176.795163825437
"174",157.387897415212
"175",158.018268288436
"176",154.763341515018
"177",156.024175239168
"178",168.142469685806
"179",202.782748008481
"180",236.114901696696
"181",255.960105472314
"182",251.735411004851
"183",254.099261974639
"184",243.461445873637
"185",239.301100927834
"186",240.148117143868
"187",242.415092164882
"188",249.740552300407
"189",273.618659558445
"190",302.033967485261
"191",329.379410734715
"192",346.091677437144
"193",324.907664351287
"194",298.50141507894
"195",256.154995647078
"196",208.783310447374
"197",175.651753171505
"198",160.919895718989
"199",154.062616185667
"200",151.955502463079
"201",155.997207539898
"202",167.35720359553
"203",202.032857872293
"204",231.540228143397
"205",246.163826156816
"206",242.952466905254
"207",240.357654444817
"208",227.621047482022
"209",219.011967250583
"210",220.09113709326
"211",218.432172141018
"212",221.266847215787
"213",237.803114471176
"214",280.520029113618
"215",315.267516691634
"216",333.213680641403
"217",309.696569721076
"218",289.281153812383
"219",245.732892572568
"220",203.600671227195
"221",178.303556377942
"222",162.70600445718
"223",156.736347658167
"224",155.650861509352
"225",160.356411284664
"226",171.838445986857
"227",204.236413329186
"228",234.615675330052
"229",249.204936417484
"230",256.690003548864
"231",254.302458013537
"232",245.764285115432
"233",239.740418157523
"234",234.648280490208
"235",236.704423656716
"236",241.927302586394
"237",260.331263422382
"238",300.017901722197
"239",326.219032241666
"240",343.926254506199
"241",321.69114232323
"242",294.000347454741
"243",250.09730502942
"244",212.128134404218
"245",187.975036956346
"246",184.196396509377
"247",176.550592281267
"248",173.444558188604
"249",180.740246868218
"250",191.532518361436
"251",213.909918103758
"252",243.59356092161
"253",253.859476988596
"254",287.759889774226
"255",296.811973093043
"256",290.440030435468
"257",296.120028871935
"258",287.564499011269
"259",285.919330337991
"260",280.494727219936
"261",289.508472123241
"262",331.324716342028
"263",362.330866268148
"264",381.045813251608
"265",361.531823977838
"266",330.929106306992
"267",283.037720089296
"268",244.104416019228
"269",214.504839112827
"270",199.793579344912
"271",188.176377232351
"272",183.86453476638
"273",187.658036465267
"274",195.697134928279
"275",213.835631403397
"276",240.708909234965
"277",237.000717429092
"278",259.498727405819
"279",257.649804852283
"280",250.469823862088
"281",244.326159676481
"282",239.022115761185
"283",238.269695414501
"284",230.272547243683
"285",249.713618855072
"286",291.856341285831
"287",321.210837100028
"288",347.331307787759
"289",332.768577579977
"290",308.230749374288
"291",264.33346193158
"292",226.928140470288
"293",198.165203836223
"294",188.102082346818
"295",178.615867139291
"296",177.640675083052
"297",177.530641720583
"298",191.225504123359
"299",223.697387363654
"300",250.254718463054
"301",260.72252359148
"302",285.908976987477
"303",269.507104935479
"304",267.26372215473
"305",252.781556855348
"306",236.458654494486
"307",236.194381720689
"308",244.621156202745
"309",253.432686098042
"310",302.697525480603
"311",337.336638969779
"312",361.247478458025
"313",341.711930938014
"314",308.541936730154
"315",270.607493964864
"316",229.460663539566
"317",195.751044349656
"318",179.710250370795
"319",172.173717586971
"320",174.666358541768
"321",176.041687575362
"322",187.479131322002
"323",218.57719237893
"324",248.563724383497
"325",255.735883469004
"326",263.845045903933
"327",259.068812868261
"328",255.043747672867
"329",235.416039561189
"330",230.960551781632
"331",227.462675852846
"332",220.76726041391
"333",247.441960031053
"334",290.025321845191
"335",328.059224472536
"336",357.618120373018
"337",336.726411092595
"338",308.208571568148
"339",264.984140462191
"340",222.833172079854
"341",190.727549891482
"342",177.641753019099
"343",172.199682018115
"344",169.562968056258
"345",174.283474168155
"346",188.092782285828
"347",218.024118848156
"348",248.115595704504
"349",256.09749753108
"350",269.213080264004
"351",253.375881879687
"352",246.724241851576
"353",233.492386395287
"354",227.488044411351
"355",224.191399496053
"356",227.822495940225
"357",245.771762379454
"358",293.09162769847
"359",332.00285825282
"360",358.349509583112
"361",345.328154416863
"362",319.678005048418
"363",265.791615711094
"364",224.011379389346
"365",196.057791788335
"366",177.785382678348
"367",170.813887010946
"368",173.925117940557
"369",175.960492097855
"370",184.361810502146
"371",214.184848965961
"372",244.113157234593
"373",250.296517145628
"374",260.955178143668
"375",259.20878262173
"376",249.950094202632
"377",243.240691963312
"378",237.404157079911
"379",230.043520827417
"380",227.341646417561
"381",246.664763502722
"382",291.317622876441
"383",328.962956086175
"384",350.464517054896
"385",338.200075411772
"386",304.34168780183
"387",259.91707220859
"388",229.715608164637
"389",189.672628245836
"390",173.291308763992
"391",171.248715376673
"392",169.620219226305
"393",174.386113962202
"394",191.651534287681
"395",214.248431603413
"396",245.320438714679
"397",254.999530745627
"398",264.858347700534
"399",244.617972014578
"400",231.479825448855
"401",224.640656505279
"402",222.599001972142
"403",215.79449231326
"404",217.984980298664
"405",240.846260931379
"406",286.787059655817
"407",323.426648724365
"408",352.182894549218
"409",331.080862778681
"410",298.42358837263
"411",258.381443206593
"412",217.423823256319
"413",189.402738699202
"414",172.419755042612
"415",166.055277808839
"416",166.650132464861
"417",167.733738370778
"418",178.537282326685
"419",198.248734158081
"420",223.435624970384
"421",237.658539770536
"422",266.031780288566
