"","x"
"1",171.353325313713
"2",162.015175982728
"3",143.468495201393
"4",133.802151313011
"5",125.397343243646
"6",119.347238121838
"7",118.070440078237
"8",117.794712996917
"9",117.695105504488
"10",122.644124605385
"11",136.364132199279
"12",156.093979760903
"13",170.221717088818
"14",167.730284022583
"15",168.002805919423
"16",165.579741179326
"17",164.879384442592
"18",164.51049873587
"19",163.110840509729
"20",159.019099193371
"21",165.946843105392
"22",172.827666873572
"23",177.010371231625
"24",174.193328985937
"25",170.026059939629
"26",161.640318417863
"27",146.211580597463
"28",135.630520137457
"29",126.460943876513
"30",123.727277347007
"31",121.765238628335
"32",122.917440840119
"33",121.309042195072
"34",127.197524774762
"35",139.512305327698
"36",156.802366269423
"37",173.607019887348
"38",169.52335405531
"39",172.375489167622
"40",168.529704638841
"41",169.412096340688
"42",171.950230450552
"43",166.560204747402
"44",165.848385167774
"45",171.135504857267
"46",176.336183856269
"47",176.96617997172
"48",176.167801559606
"49",173.342204232638
"50",162.79026039938
"51",148.771351853314
"52",137.332642364755
"53",127.559587665305
"54",123.289437086254
"55",121.086200485294
"56",120.260380912336
"57",121.953487443675
"58",126.357979640559
"59",139.226093995101
"60",159.20957013788
"61",174.259104784492
"62",170.382165345334
"63",171.007445847951
"64",168.904100289992
"65",167.184293542546
"66",163.614511574116
"67",162.338402979535
"68",157.349336210816
"69",161.047830358004
"70",172.602438584923
"71",175.934597888294
"72",176.656279530873
"73",173.217010942443
"74",161.068036164229
"75",148.043831141767
"76",135.236689632299
"77",131.131852219384
"78",126.013102349568
"79",125.190181802725
"80",123.381793904258
"81",123.45317380438
"82",121.55784123305
"83",134.978757815095
"84",142.834924022913
"85",141.12660541327
"86",152.190650742972
"87",154.721627120692
"88",153.884662398304
"89",156.253782476303
"90",153.242200883512
"91",150.172207050646
"92",144.488880828286
"93",150.812081036958
"94",158.97705344413
"95",163.829987599577
"96",166.707484290452
"97",160.788377299382
"98",151.467507609436
"99",140.225540367346
"100",129.885217422722
"101",125.295607993897
"102",118.207972514566
"103",116.269386173846
"104",114.59421567875
"105",115.532846803883
"106",117.437152986903
"107",125.917279714536
"108",129.60307799069
"109",120.644584191665
"110",128.935993232673
"111",132.625515798339
"112",130.70503081889
"113",129.442387985463
"114",130.548629457764
"115",126.907835600343
"116",126.331785480466
"117",132.699224070461
"118",139.316702686632
"119",145.985631975779
"120",151.689359768038
"121",149.534602468716
"122",141.295916806774
"123",132.472608272502
"124",125.289089642984
"125",121.122330292575
"126",114.54475061414
"127",115.978191351223
"128",112.504718579908
"129",114.178331165877
"130",117.66434138812
"131",135.535419278189
"132",155.297479160796
"133",167.864343365228
"134",167.905287343977
"135",171.315896098729
"136",169.84489833996
"137",170.146424952991
"138",169.062712960215
"139",167.347678314699
"140",163.140985254004
"141",161.136309394619
"142",158.894992511293
"143",177.889144697433
"144",174.702300681472
"145",172.234727682351
"146",163.646356557944
"147",148.131903157414
"148",134.833310364572
"149",128.395748253724
"150",122.965402925492
"151",123.629389038634
"152",122.145185177669
"153",123.542231858124
"154",126.14309193418
"155",141.377609717717
"156",158.914184536505
