,x
1,177.5172944
2,182.153352
3,188.3101149
4,201.7941827
5,212.9006128
6,231.4373665
7,246.9480615
8,244.3006577
9,240.9291924
10,240.3890875
11,247.4252529
12,248.2778098
13,272.0583194
14,330.0118035
15,351.7300923
16,346.8365589
17,343.2528041
18,316.9652027
19,285.0549029
20,241.9979833
21,200.8935678
22,178.7613938
23,173.8699725
24,174.0126847
25,171.5562063
26,180.6689233
27,200.6746521
28,226.6338567
29,260.3918371
30,259.692427
31,246.881306
32,232.0842529
33,222.2481568
34,216.3835091
35,220.5353538
36,224.991861
37,252.4394356
38,309.7131035
39,332.6720855
40,337.846234
41,328.9406575
42,293.9440071
43,267.6581668
44,214.4487813
45,190.1024434
46,164.7077984
47,166.0677877
48,162.0264301
49,165.6887354
50,173.2668828
51,193.5904093
52,224.6256869
53,255.3400584
54,247.8840021
55,231.3413529
56,220.9369389
57,215.5108138
58,207.0205001
59,212.6466872
60,211.172261
61,248.2574781
62,300.6949293
63,337.6255963
64,333.4419451
65,325.7120742
66,287.1893285
67,258.2403752
68,216.3126399
69,188.0325452
70,167.3422465
71,161.5130787
72,163.1078386
73,157.6787224
74,172.3450326
75,198.0368993
76,235.9635173
77,263.7855541
78,256.1761108
79,262.2481376
80,248.5977174
81,236.1519343
82,234.5366924
83,236.4767141
84,239.5618672
85,283.1832724
86,335.9840876
87,371.0307342
88,359.4387069
89,343.3758737
90,311.3020292
91,262.4670155
92,223.1614207
93,185.3121991
94,168.6869796
95,165.1266454
96,163.0377879
97,159.9269122
98,175.1134999
99,210.0185756
100,242.0420812
101,262.0349226
102,250.1784847
103,252.4506003
104,241.7057383
105,236.5809109
106,235.2971491
107,232.4566337
108,238.3699653
109,277.1927471
110,339.7686653
111,362.4003914
112,349.7929474
113,334.6358205
114,303.9912745
115,261.2306012
116,216.7198783
117,186.3445926
118,170.0378014
119,164.2671095
120,159.1427023
121,165.6237509
122,175.0773421
123,207.8128385
124,238.2040391
125,246.9151791
126,245.6519944
127,240.444193
128,239.5620167
129,234.1518865
130,227.6665606
131,241.5033024
132,257.7346482
133,294.8503867
134,348.1963654
135,355.9808332
136,337.6146236
137,328.2519254
138,296.3567166
139,256.3553251
140,218.9703982
141,186.0934359
142,164.3085348
143,157.2990189
144,151.7320789
145,157.3524679
146,163.3309386
147,193.847956
148,210.6216976
149,209.4048856
150,229.4058257
151,247.075256
152,242.6470477
153,233.4578954
154,248.3140865
155,239.468054
156,245.9153214
157,284.5754478
158,324.9659371
159,353.69302
160,340.79708
161,324.0580471
162,301.1985138
163,255.5343724
164,217.8961263
165,187.1112077
166,163.8164146
167,158.1194306
168,152.6667206
169,151.0694556
170,163.4156419
171,187.3528227
172,197.1162219
173,200.1694711
174,222.3270933
175,232.0135524
176,224.5673036
177,220.7426653
178,226.1933357
179,222.8638287
180,227.2751399
181,259.1991518
182,287.0869629
183,318.6412965
184,315.1696665
185,304.793025
186,285.5115942
187,242.9476935
188,203.8395951
189,170.4661461
190,157.6862194
191,150.3697843
192,148.3785655
193,150.5094581
194,160.6608516
195,189.4597069
196,226.6025062
197,251.672148
198,246.6535303
199,242.6788177
200,229.9566756
201,220.9531044
202,216.136598
203,215.2853201
204,226.2972532
205,247.472488
206,283.7324629
207,323.2992469
208,324.9402068
209,311.1459923
210,287.4270775
211,241.6550025
212,198.5974356
213,166.4797563
214,150.8952826
215,148.0048474
216,143.7704436
217,145.4892361
218,156.0706844
219,187.3082134
220,227.119306
221,249.1895158
222,238.1271483
223,234.7586087
224,232.419038
225,215.5119382
226,219.2442407
227,218.6462182
228,219.2341373
229,244.8140575
230,279.0072988
231,337.4459853
232,326.4960307
233,314.3651044
234,289.1781806
235,242.354369
236,200.0167095
237,171.0021288
238,157.6247934
239,149.1322832
240,149.7656407
241,149.5297525
242,161.9736166
243,189.9826471
244,227.5604443
245,249.0627375
246,236.4212391
247,234.9610046
248,228.0306519
249,220.9900166
250,225.4208017
251,227.531184
252,234.163744
253,261.5510805
254,301.3897096
255,336.1567036
256,327.7799114
257,320.8019386
258,286.0917186
259,241.9436854
260,199.8746246
261,172.6814021
262,150.1223129
263,143.7451763
264,144.6183318
265,147.0541984
266,159.6755839
267,192.7314836
268,224.3370268
269,242.9041496
270,243.5514638
271,242.1802403
272,230.6734018
273,222.029981
274,221.2812095
275,225.6240984
276,228.4967426
277,253.172251
278,297.0035656
279,330.959026
280,328.4381392
281,314.0438478
282,289.1355407
283,247.0106557
284,198.3388967
285,171.7027641
286,155.5542917
287,147.9610285
288,148.7376583
289,151.7622075
290,165.3343246
291,200.7014427
292,232.4314404
293,241.8260226
294,237.7832742
295,242.9057455
296,225.9631415
297,223.1845492
298,225.0860124
299,225.2618843
300,227.9307742
301,253.5970305
302,307.8801361
303,338.9005901
304,336.0987698
305,316.8018428
306,280.5160042
307,237.2422095
308,199.8919784
309,173.459105
310,154.7182087
311,151.0322288
312,149.3011603
313,150.6008608
314,163.9665485
315,193.474275
316,212.6250846
317,213.8317567
318,226.2223957
319,258.543709
320,242.7016227
321,253.0839578
322,247.1481634
323,247.7278924
324,257.1059538
325,284.2205249
326,335.213508
327,351.1925211
328,340.7857111
329,326.8423541
330,289.0912749
331,248.5978033
332,208.998845
333,181.856581
334,162.6617982
335,160.3199102
336,151.5156845
337,150.1013754
338,162.9078347
339,182.7163508
340,203.9561961
341,206.160896
342,222.2163206
343,213.418739
344,216.8189338
345,208.7381304
346,219.8525442
347,217.5716465
348,217.5676682
349,247.155271
350,290.9349151
