,x
0,99.48504865
1,98.6540283
2,100.9683672
3,102.996478
4,108.1580114
5,111.3286134
6,114.0050103
7,116.8364136
8,117.6725026
9,115.5313881
10,112.2438176
11,113.4053903
12,114.0268609
13,118.7735108
14,133.6350913
15,138.7638581
16,137.3573985
17,137.0941289
18,131.8906066
19,122.5383349
20,113.1595323
21,105.6625902
22,99.5188465
23,98.1744816
24,97.67026035
25,97.43366643
26,100.8678555
27,108.5076056
28,123.6939382
29,144.0812972
30,143.4965326
31,145.8210476
32,137.9530808
33,136.6279694
34,138.3649101
35,138.1387453
36,135.0012448
37,140.9620105
38,149.9717356
39,163.3795938
40,155.5108026
41,157.8771919
42,145.8181351
43,135.4247748
44,122.5780786
45,114.676738
46,109.7045442
47,108.4839746
48,108.2253008
49,109.0609225
50,112.5575355
51,121.448861
52,137.4177069
53,151.5294936
54,148.5035934
55,148.2144415
56,142.4493254
57,141.5587429
58,141.4003141
59,140.606434
60,137.6661828
61,142.8887515
62,154.106565
63,163.0545345
64,157.5070985
65,155.5184733
66,147.1614089
67,134.2170206
68,124.8480012
69,116.0424621
70,113.0629545
71,112.9358331
72,110.2809137
73,112.8012262
74,116.2893811
75,126.8043633
76,140.7230607
77,156.4357962
78,154.8009082
79,157.8333362
80,149.8731979
81,150.5189555
82,150.1269357
83,148.7414032
84,145.8832763
85,150.5167826
86,162.7593414
87,170.3741377
88,164.3584853
89,161.9430052
90,153.6718263
91,138.187196
92,127.4184322
93,120.3272016
94,113.7792899
95,112.8901576
96,112.7101515
97,112.861546
98,116.1697963
99,130.7834857
100,147.5008196
101,155.3642522
102,155.225674
103,156.717688
104,153.0304903
105,151.7355191
106,153.3828588
107,151.1266035
108,147.703114
109,153.5098268
110,166.6941255
111,172.2517853
112,168.0126017
113,162.9094792
114,154.5195013
115,141.8901537
116,129.3176414
117,121.4560441
118,116.42207
119,114.5196428
120,114.6503841
121,113.6046749
122,118.4903095
123,133.3475863
124,152.9609657
125,160.412092
126,155.8513264
127,154.2794395
128,153.6024992
129,153.1311499
130,153.1647199
131,151.3733004
132,148.3310359
133,155.1946639
134,166.5011493
135,169.1222769
136,163.2717197
137,160.2701434
138,150.2728643
139,138.920227
140,126.2526199
141,119.4488762
142,120.2209249
143,119.1716928
144,119.3755613
145,119.2779612
146,122.861203
147,135.3520886
148,147.3068347
149,142.9222243
150,143.8739829
151,149.5095493
152,147.4500804
153,144.5662863
154,146.4729991
155,138.5754811
156,135.1649057
157,143.5825987
158,155.5502061
159,162.8531697
160,159.2730307
161,156.3053434
162,149.3019138
163,134.7822847
164,125.6525677
165,120.9587573
166,117.4262916
167,114.3027984
168,114.8584163
169,113.7926989
170,115.619546
171,126.0830579
172,130.240128
173,123.8460147
174,125.4997435
175,129.8934736
176,129.4724728
177,127.0395401
178,125.6299064
179,124.0097042
180,125.2733913
181,132.6146883
182,140.8007168
183,149.8236513
184,148.3355085
185,146.4215679
186,139.6445161
187,128.8379413
188,120.6576153
189,113.7550247
190,109.6358862
191,107.4403266
192,107.2909977
193,110.4470297
194,112.2942743
195,125.9917625
196,148.2115552
197,169.9983401
198,164.1009494
199,167.2509858
200,159.2688564
201,161.5880417
202,161.6107467
203,164.8280257
204,156.1717808
205,159.0552587
206,168.3659326
207,175.425958
208,175.748169
209,172.45597
210,163.2651239
211,147.31868
212,137.6148295
213,126.9801624
214,126.4913447
215,124.0858532
216,124.7977368
217,123.8703025
218,128.894637
219,138.7907352
220,158.7642715
221,172.8539834
222,168.1515568
223,168.3650829
224,165.2417021
225,164.9248825
226,162.7582884
227,158.844323
228,156.625076
229,159.4596067
230,169.3121331
231,183.0602174
232,177.7835309
233,176.5177348
234,164.8925048
235,148.8871624
236,138.7741919
237,129.5855316
238,125.2565597
239,120.97451
240,121.8727441
241,121.4539944
242,125.5384559
243,138.0199106
244,158.5425146
245,176.2376498
246,168.6716031
247,172.9369031
248,168.894911
249,169.120662
250,164.4908267
251,165.9777015
252,160.5782973
253,164.9104551
254,173.8856789
255,181.5890182
256,176.0047997
257,172.3800007
258,163.5254343
259,147.9240341
260,136.8180109
261,129.3074129
262,123.3473344
263,120.2276127
264,119.4021538
265,118.7652577
266,123.2688775
267,135.3196891
268,157.0865569
269,170.396184
270,166.5669856
271,168.7570924
272,164.6957126
273,163.9347668
274,160.0624316
275,160.0503825
276,155.1434666
277,158.3990549
278,169.2254902
279,174.3117217
280,172.6800045
281,169.8577377
282,160.2590794
283,147.7538658
284,133.9090952
285,126.2297042
286,121.6608066
287,119.0218072
288,119.3717348
289,120.5161762
290,123.9521443
291,142.4890402
292,163.8453772
293,171.5172717
294,169.0875328
295,168.3229107
296,166.5091136
297,165.596044
298,165.514669
299,162.5856535
300,156.1343011
301,159.2022992
302,173.7061482
303,179.2681324
304,176.4748439
305,172.5219975
306,161.4136481
307,147.5283795
308,133.8341943
309,129.5750839
310,123.8752856
311,121.6897336
312,122.7520766
313,121.1589885
314,125.2345969
315,139.5651238
316,153.5912013
317,145.2300217
318,147.1519234
319,156.0962346
320,154.6851867
321,152.7988253
322,151.2868883
323,142.9303665
324,140.7634354
325,148.0003916
326,158.1172494
327,164.2715472
328,162.0370144
329,158.8434978
330,149.8687109
331,135.4862645
332,126.9213307
333,120.1001045
334,113.6527287
335,112.9740121
336,110.9796234
337,110.0201186
338,115.3427036
339,123.8959438
340,128.1128907
341,123.5500773
342,124.0846871
343,126.2031427
344,124.2651328
345,120.9512247
346,121.8209814
347,117.2271902
348,120.4089275
349,128.1306934
350,137.8863908
351,146.143184
352,146.3024519
353,145.2425767
354,137.4249688
355,127.6559028
356,118.2442546
357,111.7565518
358,107.6046354
359,105.8211485
360,105.2997869
361,105.7113312
362,110.0310257
363,123.3528827
364,149.5279739
365,166.5438292
366,163.9470218
367,168.7738355
368,167.0060107
369,161.4826808
370,159.1486155
371,157.346163
372,154.9024207
373,159.664452
374,167.1801232
375,175.5176314
376,171.9426069
377,168.7872653
378,160.2401799
379,144.0109663
380,132.2470589
381,124.3652923
382,123.1481076
383,120.4815494
384,120.3657234
385,119.3617633
386,126.7748384
387,138.4791674
388,158.6049016
389,170.8729629
390,166.8648744
391,170.1943006
392,164.4029215
393,164.7646538
394,163.9684494
395,163.0612082
396,160.8850464
397,164.6301693
