,x
1,344.941492
2,369.7723284
3,453.2284733
4,525.5223909
5,465.6987038
6,446.7395782
7,387.1346086
8,308.9622727
9,290.2710915
10,258.1717249
11,256.5574135
12,263.6692529
13,262.6404801
14,278.9719419
15,307.4835017
16,379.1024939
17,413.1146455
18,375.0979411
19,360.3772369
20,346.6137758
21,353.2496444
22,313.9099126
23,344.5971413
24,349.6844262
25,349.2420472
26,380.7334733
27,445.5296026
28,521.872022
29,455.6349226
30,443.3149863
31,389.0336748
32,327.5441493
33,277.3828781
34,264.4874973
35,256.8966693
36,263.8266823
37,258.6336258
38,277.4548748
39,293.8292657
40,378.8741028
41,415.7277916
42,386.372539
43,391.3176966
44,387.3815992
45,392.9157411
46,372.976859
47,365.4243283
48,368.0514418
49,375.0795036
50,392.1598161
51,432.9895041
52,537.7887939
53,464.0631851
54,445.2859295
55,399.967376
56,325.7120003
57,284.5606096
58,265.6126103
59,266.4465378
60,266.7290362
61,269.2234775
62,280.293741
63,306.5251631
64,380.5998021
65,412.0196579
66,362.4961576
67,362.4784554
68,349.0438132
69,341.8137145
70,324.7873279
71,331.8468718
72,333.3303259
73,369.3862187
74,384.902546
75,446.8917122
76,535.8908696
77,461.4980778
78,443.8644267
79,400.4597766
80,337.05115
81,306.4627077
82,252.1117172
83,268.340715
84,256.156653
85,264.2900989
86,253.8484032
87,282.3048485
88,322.3125173
89,349.8823167
90,401.9571146
91,401.8171634
92,387.7978559
93,393.379454
94,351.3307004
95,345.4372186
96,385.1195008
97,315.8427055
98,381.9588872
99,423.8233795
100,541.1878348
101,479.6411735
102,443.5833601
103,396.8004226
104,339.0527707
105,295.4730635
106,268.9321644
107,261.8189096
108,263.1082022
109,261.1282864
110,260.0071628
111,267.3145557
112,299.1280147
113,310.4484539
114,362.7596712
115,345.9193968
116,302.4870168
117,310.365622
118,290.2799016
119,295.3543902
120,283.6812412
121,287.1471473
122,329.6267009
123,377.8397731
124,515.6024609
125,446.0989029
126,424.9777131
127,363.3515538
128,312.3896325
129,272.2314929
130,246.4061533
131,243.1445607
132,248.4506112
133,250.5741712
134,264.0652679
135,290.2178324
136,374.2508948
137,398.129421
138,364.8688391
139,362.8975396
140,332.0818445
141,332.663183
142,336.8707813
143,349.2776112
144,361.2510763
145,361.7448067
146,380.9531841
147,444.8237945
148,523.5162852
149,469.0441883
150,431.7565843
151,370.2924826
152,295.5189009
153,263.1221783
154,246.8222997
155,248.3928325
156,251.2473475
157,252.4101774
