,x
1,217.5720343
2,236.7627531
3,307.8443929
4,378.0096718
5,321.9983782
6,296.5337637
7,259.8206364
8,200.8225709
9,177.2792237
10,155.3425096
11,151.6266431
12,155.663204
13,158.2655509
14,161.0350944
15,193.4812736
16,242.6864619
17,258.3473601
18,235.0240519
19,219.1516442
20,210.8661338
21,211.2302365
22,178.6421841
23,207.5053561
24,213.9723198
25,221.0508958
26,239.1297517
27,302.3964624
28,369.4495968
29,313.8963152
30,291.3861914
31,254.6163475
32,205.9546858
33,171.014998
34,154.693547
35,147.8333418
36,155.9698372
37,152.4093877
38,170.0353183
39,185.6999923
40,237.6844026
41,266.059881
42,249.1820641
43,253.4118118
44,241.9163571
45,245.6670995
46,232.0213252
47,226.8911346
48,240.972709
49,246.2461235
50,253.9214211
51,289.4744922
52,374.0645701
53,315.0360601
54,299.671404
55,268.7416882
56,211.2804908
57,175.1849478
58,155.4493192
59,156.933377
60,158.2246005
61,162.3575414
62,167.3125846
63,188.1967613
64,241.5498247
65,251.2436064
66,225.5067819
67,220.0918255
68,200.617866
69,204.2929934
70,190.0162922
71,201.2470938
72,205.3054139
73,243.6052021
74,238.4377153
75,308.5012276
76,375.679032
77,321.999293
78,297.9242462
79,262.6365428
80,227.1820022
81,194.6332656
82,144.2276986
83,155.2853495
84,152.2462326
85,152.0569738
86,159.6025276
87,173.6054792
88,214.0795636
89,226.9834313
90,274.1835326
91,274.3702195
92,267.0730785
93,266.6667138
94,235.0780918
95,237.9795103
96,275.6320404
97,213.5285991
98,273.9324895
99,296.738845
100,387.307532
101,343.8883355
102,312.5581929
103,267.8917313
104,229.1351432
105,189.2494837
106,167.8171473
107,163.8357279
108,161.803311
109,156.5706763
110,171.5300412
111,172.4353865
112,195.3608129
113,207.9293422
114,239.5533181
115,226.6771654
116,191.4189771
117,201.8334723
118,181.0171199
119,193.5172691
120,185.0013733
121,185.8530783
122,227.9401279
123,266.0730012
124,372.2842038
125,324.5872929
126,313.9337912
127,259.2219034
128,204.7359185
129,173.2223517
130,153.9457937
131,152.5254008
132,151.7956169
133,155.0140235
134,169.1377196
135,189.7877638
136,241.9877066
137,245.5826237
138,234.3215949
139,220.8838138
140,210.8341725
141,185.7644309
142,202.2265544
143,215.3273551
144,228.6491031
145,235.4917772
146,248.3313429
147,293.2157532
148,362.9262433
149,321.8977343
150,288.6265241
151,246.591262
152,182.4034149
153,163.3348808
154,143.8840505
155,146.4520774
156,145.8104429
157,147.7872165
158,152.9125772
159,184.564926
160,219.0399941
161,266.227854
162,246.0210198
163,240.7962626
164,232.9731735
165,217.4792238
166,191.055863
167,211.1802697
168,211.6878147
169,223.1960489
170,237.0470967
171,283.9958901
172,376.1676192
173,313.8896244
174,298.4145156
175,258.5269251
176,200.1687629
177,168.3653387
178,143.8298683
179,144.8331878
180,154.3902204
181,147.1093185
182,164.0777272
183,185.9083171
184,243.0054286
185,250.2184898
186,234.8556555
187,230.8060345
188,211.6312844
189,212.0597028
190,190.7402609
