"","x"
"1",290.021017936222
"2",251.007805817354
"3",253.454606606484
"4",246.993536433233
"5",234.32816856767
"6",231.543451381693
"7",229.027077614809
"8",238.246056760087
"9",253.205829490319
"10",305.815254811521
"11",366.13156508445
"12",348.28521863225
"13",328.37536603342
"14",309.284206056921
"15",272.512746820754
"16",223.853210677513
"17",189.337371982716
"18",168.077301899336
"19",165.276230130322
"20",168.847292044518
"21",173.766099886467
"22",175.433066330415
"23",189.771140830729
"24",239.399261694325
"25",267.223195254809
"26",248.49064192722
"27",243.081829221978
"28",257.424005463118
"29",230.571024382117
"30",223.40257022432
"31",257.13079435868
"32",256.494336614669
"33",269.770735625966
"34",303.976368042587
"35",361.957419912735
"36",337.574238778178
"37",324.459286198715
"38",297.592609185524
"39",268.021986297847
"40",224.843375176487
"41",190.598693443277
"42",162.475435463394
"43",163.826315622958
"44",155.844030803151
"45",160.11434207132
"46",159.298114594454
"47",180.731499175023
"48",201.409442967195
"49",222.607568641043
"50",254.133329337283
"51",251.117064836426
"52",255.990013057862
"53",234.98408976052
"54",250.938121468707
"55",232.908542667877
"56",239.914244120328
"57",261.895703357212
"58",295.24340842711
"59",370.907429248903
"60",343.58243052262
"61",318.429612622059
"62",306.522573623628
"63",263.235747103136
"64",229.014603373309
"65",191.467984063418
"66",166.456685648598
"67",156.71995451146
"68",161.109453484508
"69",157.250488043425
"70",159.626346311233
"71",166.543504989809
"72",186.600670080446
"73",204.415843735515
"74",232.736473642331
"75",238.760421770898
"76",237.030495840016
"77",227.985112529936
"78",222.163417841758
"79",221.503407133141
"80",220.049823114905
"81",228.505678916659
"82",256.669890757059
"83",339.763861574736
"84",325.689869910266
"85",305.17221288469
"86",302.480719052269
"87",255.48013485257
"88",212.445752040438
"89",175.138285030222
"90",165.022145074154
"91",152.027204199841
"92",158.254680866513
"93",150.714468177412
"94",164.573568028124
"95",179.842090146327
"96",233.065813887102
"97",267.306371262422
"98",234.19759784773
"99",239.856262616811
"100",233.142302270687
"101",217.763697031646
"102",208.74745743413
"103",211.766572342489
"104",222.227669731784
"105",220.478751234295
"106",261.029513560485
"107",361.897677621262
"108",332.46488133077
"109",319.714317769437
"110",289.421043245893
"111",250.210442969018
"112",207.073569199091
"113",170.560381480781
"114",150.253090802888
"115",157.156767776017
"116",153.989882849755
"117",153.90106498789
"118",161.340142719679
"119",183.522556339003
"120",225.948954959031
"121",262.530359476576
"122",231.531184484361
"123",236.976072038037
"124",234.147100152918
"125",212.795684146649
"126",213.494764433638
"127",216.907110900547
"128",214.725238748845
"129",227.037807008462
"130",257.823328941426
"131",347.311847331046
"132",339.168162257445
"133",310.090848286156
"134",292.32814945227
"135",250.544901266579
"136",207.567506736582
"137",173.699944919751
"138",161.994610646335
"139",151.749966948378
"140",159.198077226222
"141",155.708339742778
"142",162.516582742854
"143",183.018955375053
"144",236.321368242799
"145",255.360718522407
"146",223.054070179719
"147",231.804460007144
"148",231.327770232522
"149",224.521609433571
"150",218.626040228058
"151",227.089455130017
"152",231.3949062964
"153",234.903279927992
"154",270.071228260175
"155",351.426233313377
"156",325.645213413322
"157",318.82309614202
"158",282.873102786667
"159",250.346506310479
"160",201.556339157572
"161",173.145927096829
"162",148.167816504529
"163",148.490198489213
"164",155.790919409833
"165",156.54044398615
"166",161.286321809737
"167",180.95823012872
"168",222.900413686304
"169",257.510363135521
"170",245.438376619076
"171",243.592397008842
"172",232.975897439061
"173",225.604451800611
"174",218.361380243843
"175",228.709041296253
"176",225.915241234659
"177",230.261290361196
"178",263.204631742281
"179",338.695283206472
"180",337.999292918878
"181",316.786324731662
"182",301.839468628649
"183",254.827495638918
"184",193.655360264504
"185",174.692983965514
"186",162.319293401596
"187",153.513714577761
"188",158.28541286355
"189",163.876575587114
"190",163.463117782715
"191",185.961734303948
"192",230.516829177766
"193",261.586582891333
"194",233.21329555278
"195",246.894284063367
"196",216.324355315141
"197",234.080370043412
"198",215.202705214838
"199",224.020625512264
"200",229.1563577815
"201",237.941131565839
"202",282.031196364775
"203",346.836434459679
"204",328.1893119944
"205",306.929826605957
"206",282.461116100232
"207",256.114782520444
"208",214.147381429676
"209",172.259104074576
"210",157.082239964717
"211",158.366842514504
"212",158.052371173516
"213",159.032704362849
"214",161.998104548666
"215",173.301635594112
"216",201.106984838448
"217",223.455606012815
"218",254.266768606653
"219",286.037276424837
"220",263.850663042107
"221",255.198275339399
"222",244.584004318906
"223",245.780277241722
"224",259.847965989976
"225",261.932900218243
"226",294.230348341523
"227",346.348518898734
"228",336.63745468182
"229",325.45565160709
"230",298.210067666272
"231",256.269608473565
"232",222.312904261279
"233",184.154662085426
"234",160.550098002404
"235",169.366770603793
"236",148.355542490954
"237",159.923936297555
"238",159.069380951352
"239",166.442750051208
"240",193.340601601006
"241",211.52270326182
"242",226.367893163152
"243",211.771490254901
"244",224.330292376704
"245",206.984967796528
"246",223.392236653568
"247",209.544415736125
"248",212.934824066513
"249",231.91324407143
"250",270.940823412504
"251",321.364315034821
"252",323.986458587955
"253",321.14956714057
"254",287.700708210379
"255",248.739015366948
"256",204.306158433084
"257",164.095196933143
"258",147.273638464893
"259",148.083424196857
"260",137.459522922093
"261",140.213925569332
"262",159.935189677887
"263",180.475610072861
"264",220.162938485033
"265",254.811192580474
"266",227.132133047593
"267",245.148190578507
"268",218.85121018461
"269",214.816127779512
"270",195.688126552645
"271",207.731331143584
"272",212.21008255527
"273",231.967993146955
"274",255.469610080292
"275",324.03659921394
"276",328.109359011352
"277",298.108436785624
"278",282.835866355752
"279",231.668288562873
"280",193.064147379008
"281",159.511598344383
"282",146.689853996184
"283",136.73100854453
"284",139.134927797159
"285",137.808086756838
"286",147.395279087707
"287",161.912489684458
"288",219.716628540526
"289",251.073889313529
"290",217.018354205392
"291",206.626398704828
"292",216.691461501861
"293",213.786662245351
"294",212.081837998714
"295",219.040889579347
"296",224.825266190614
"297",231.565502930366
"298",265.973415780333
"299",328.01852681314
"300",325.600670618559
"301",295.879483238162
"302",282.650756178298
"303",229.277889683136
"304",196.048572339505
"305",159.129940146858
"306",142.167448474037
"307",144.28554803913
"308",144.885925168318
"309",142.805418089515
"310",152.894640098044
"311",178.738341569219
"312",208.936673183079
"313",248.568467105996
"314",223.559685577983
"315",225.384077411027
"316",221.632213676567
"317",215.041047207819
"318",215.855652406849
"319",224.986218470141
"320",219.630874689688
"321",238.289544303189
"322",267.637369104138
"323",330.09759545137
"324",331.905245025875
"325",297.784669373712
"326",281.655748543451
"327",236.871808805349
"328",200.932264955817
"329",156.837886137632
"330",131.034878357052
"331",137.381467749522
"332",140.801121562077
"333",139.495312244842
"334",146.625269535603
"335",165.332296429693
"336",226.395079821008
"337",254.190703241686
"338",239.657111597159
"339",238.004188714831
"340",233.644345581081
"341",223.66044661631
"342",223.715708226364
"343",230.950424840574
"344",241.174172704425
"345",253.421096555478
"346",265.892141656156
"347",331.96065966741
"348",332.690614165821
"349",300.816684731802
"350",286.085796854723
"351",245.995640784549
"352",196.655541164576
"353",162.811750153211
"354",148.09066212223
"355",140.572972128026
"356",147.238511123069
"357",151.392402053349
"358",158.386055117161
"359",172.432747484251
"360",225.109482543833
"361",252.649383866371
"362",230.375786470789
"363",237.736178769173
"364",230.363257732785
"365",218.288789460632
"366",206.042639388834
"367",215.682259204762
"368",216.610209622431
"369",241.163412483455
"370",264.273346592543
"371",339.911450892544
"372",346.79916857172
"373",305.588948724459
"374",286.761583844427
"375",253.573068182069
"376",211.359533682139
"377",169.578995633351
"378",157.073848300121
"379",147.812242858412
"380",154.623073177802
"381",148.718186256852
"382",171.202517950537
"383",174.523753915683
"384",195.301030933718
"385",226.398950894523
"386",261.679747590858
"387",277.797811008672
"388",280.086210885339
"389",277.644202874015
"390",271.188048864663
"391",271.45467726341
"392",267.965652127054
"393",277.859097809591
"394",291.021488301716
"395",361.688590640368
"396",366.067651805748
"397",320.021480669494
"398",309.464342474889
"399",270.483580460994
"400",230.622699076476
"401",197.296837753937
"402",182.58229061927
