"","x"
"1",376.16148508349
"2",377.912754089422
"3",378.180151848674
"4",377.81921649431
"5",403.913502674407
"6",462.931368030588
"7",493.473814098349
"8",505.094855585932
"9",488.716945420684
"10",447.456177042375
"11",394.473265909624
"12",336.682472686127
"13",295.842404595517
"14",275.383927636664
"15",274.956007985616
"16",265.533666704177
"17",270.346253874881
"18",284.839496464767
"19",325.43434426927
"20",385.813494484743
"21",419.039164415562
"22",402.179346057076
"23",395.392628197445
"24",394.633728954619
"25",378.63472740172
"26",379.429578228289
"27",377.363418019166
"28",374.838036020106
"29",411.870503703572
"30",465.177196038099
"31",506.830534068579
"32",509.625404598167
"33",493.165872069298
"34",448.094065503274
"35",398.209847651961
"36",336.438584046476
"37",299.98760769951
"38",281.115989409116
"39",272.336406920135
"40",271.874288457421
"41",270.966511934075
"42",285.816675216079
"43",330.112818228555
"44",385.680146680186
"45",416.780459261251
"46",401.058788703341
"47",402.611498353952
"48",394.965377906784
"49",391.911689745433
"50",392.47218615494
"51",394.524600656804
"52",396.60178750815
"53",422.791355841422
"54",482.276997540751
"55",508.379799370213
"56",504.489051508743
"57",490.714958569566
"58",448.09714456429
"59",389.378249705441
"60",337.946662391866
"61",300.031406599094
"62",270.178302225633
"63",261.782781959226
"64",264.633128693406
"65",267.033082823278
"66",281.919127994825
"67",325.428053316757
"68",380.265385882404
"69",412.350487717896
"70",407.480762719958
"71",410.40309776247
"72",394.203358695129
"73",391.399219070021
"74",384.950686737403
"75",392.9442955645
"76",389.713222980359
"77",409.479418711079
"78",471.356456610413
"79",496.675365524621
"80",505.344058985582
"81",486.787702524956
"82",456.556536266802
"83",397.513019348001
"84",328.85051202024
"85",294.721166632233
"86",277.475547053415
"87",265.879224673166
"88",270.239812868323
"89",272.043237268699
"90",286.086167400706
"91",334.879449962616
"92",386.09333572306
"93",414.459766034148
"94",403.518757141422
"95",413.464396447421
"96",383.208519356524
"97",392.601028819241
"98",391.242851608347
"99",387.216709833994
"100",387.295686216673
"101",418.641656768906
"102",479.271440481324
"103",521.569404818445
"104",506.256117263561
"105",485.556292437718
"106",447.054300480916
"107",387.427049994025
"108",342.904249917707
"109",302.88013102281
"110",280.207957954553
"111",272.231215258204
"112",272.989682507245
"113",269.576104816367
"114",286.424226844324
"115",322.587151193203
"116",348.916556995041
"117",358.200552525346
"118",386.425004793706
"119",419.436961459217
"120",409.114980232604
"121",406.763899884719
"122",400.166941146615
"123",392.65396007293
"124",402.672974114921
"125",436.578262608329
"126",485.316306752374
"127",511.321493956845
"128",497.71393981833
"129",477.526239315861
"130",446.197322236045
"131",384.42654489734
"132",339.287700586083
"133",303.866457288388
"134",276.834434633173
"135",273.413733850822
"136",262.437484433172
"137",262.145933783327
"138",278.617788257716
"139",302.808525926952
"140",329.304541795625
"141",323.251866036599
"142",339.446346421223
"143",339.063044823825
"144",345.364798980101
"145",330.452015144338
"146",345.232996605031
"147",332.103717404075
"148",333.95361753835
"149",377.092591052834
"150",431.328723384099
"151",457.328344684712
"152",459.789774788987
"153",452.369427271851
"154",420.696977396416
"155",365.662958101527
"156",319.090089021007
"157",281.347277877385
"158",256.806756383543
"159",249.927290106991
"160",248.351769482659
"161",249.557693073315
"162",269.842473835471
"163",313.046895452159
"164",368.563289111802
"165",412.203141832988
"166",401.863520335841
"167",410.578360974088
"168",386.124613874989
"169",376.263793343948
"170",369.217631684721
"171",370.511143021526
"172",369.931177729554
"173",410.462584436992
"174",451.211373090627
"175",491.373333467772
"176",489.824348067697
"177",465.094199180493
"178",435.608599264359
"179",371.703308731855
"180",320.746566981691
"181",284.089240542926
"182",266.093238189608
"183",256.131518015367
"184",250.668666038816
"185",248.500396941337
"186",270.59947963251
"187",309.909713837515
"188",368.757503917749
"189",402.377730870683
"190",388.321094487826
"191",389.872442622858
"192",379.273089692445
"193",375.705279221691
"194",378.121896769701
"195",382.15242057912
"196",388.293568554612
"197",419.900748771407
"198",463.860045842938
"199",494.816439258629
"200",489.920658032735
"201",470.781444704101
"202",436.320358233002
"203",370.168797308299
"204",323.426607729576
"205",283.390726746303
"206",260.642063054868
"207",255.284353983202
"208",253.204258983143
"209",254.029256290614
"210",272.972788555065
"211",320.095696022968
"212",365.950535639372
"213",405.336101610229
"214",392.632593540637
"215",398.634088234093
"216",387.476806617523
"217",380.329793156905
"218",383.756218631775
"219",388.008042972811
"220",384.152949272766
"221",421.737180534883
"222",464.714480213133
"223",501.05024709902
"224",496.411564675382
"225",470.433813303008
"226",438.822682556046
"227",376.668094615889
"228",327.235762604225
"229",286.817373179929
"230",259.069168961007
"231",256.664435669786
"232",254.604732768256
"233",253.719306129192
"234",275.978329196184
"235",315.431786740476
"236",374.299891142136
"237",409.760223764827
"238",404.430141407127
"239",411.527331852501
"240",402.029046721882
"241",393.494238850928
"242",400.356143447011
"243",399.140004646169
"244",407.139867622769
"245",439.735413956815
"246",474.999237555615
"247",503.443698223906
"248",502.536449072727
"249",476.348746081361
"250",436.493784009552
"251",381.717382788301
"252",329.273571477084
"253",290.739228400464
"254",271.105636345527
"255",259.307730476293
"256",257.94401345871
"257",263.891482487659
"258",283.910880808017
"259",323.376899395438
"260",379.388062368306
"261",412.903738930586
"262",402.251484629299
"263",407.282711275573
"264",392.244602868692
"265",384.700529167147
"266",377.949291123044
"267",378.423294426364
"268",377.1830740622
"269",411.483869470814
"270",458.649357420334
"271",502.978101465521
"272",505.922655105201
"273",483.000738415307
"274",444.893582840099
"275",386.223265852346
"276",337.854973701023
"277",300.408549863824
"278",280.350901080231
"279",271.24111287869
"280",270.553948740872
"281",266.581930238414
"282",289.995203631543
"283",327.381148905495
"284",355.353015253603
"285",361.64492454251
"286",390.078007791119
"287",417.054098339896
"288",423.072149732789
"289",424.082111714325
"290",425.834283019043
"291",424.145075698015
"292",418.116258033824
"293",449.25806780456
"294",483.886834368641
"295",518.329873138073
"296",515.827600389969
"297",487.218105616253
"298",455.259653085425
"299",399.131617461281
"300",349.972182431697
"301",316.204007692006
"302",293.472910142295
"303",282.06559047815
"304",275.672540055101
"305",275.567236519912
"306",294.765107240115
"307",325.359633831984
"308",342.25715169866
"309",340.55868248708
"310",370.301067869957
"311",375.158024318137
"312",368.460691620645
"313",366.343604838639
"314",381.457983749181
"315",375.073547323106
"316",374.999951743083
"317",396.767311401664
"318",429.430821670312
"319",471.790572301762
"320",490.068615515754
"321",469.137630512559
"322",438.936489473164
"323",386.529404791353
"324",335.96896589356
"325",301.329734007058
"326",278.870715463137
"327",273.682138093698
"328",267.610658606088
"329",271.454583664783
"330",292.582737611503
"331",335.861085125243
"332",392.430193033892
"333",417.214848876821
"334",414.99881264265
"335",428.670130806626
"336",419.244718202736
"337",413.264332762424
"338",414.934602659574
"339",410.277638385107
"340",409.000172907295
"341",428.927633283412
"342",440.408124853035
"343",512.784076312444
"344",512.267177402522
"345",489.275032095134
"346",452.580890231026
"347",391.365180080099
"348",336.376000946187
"349",296.827012677918
"350",282.839226927013
"351",273.741082536761
"352",270.48422309412
"353",276.416065936106
"354",297.17884033284
"355",340.65231850991
"356",393.080681077937
"357",425.939165658639
"358",420.234742365217
"359",423.171227652131
"360",414.646348406956
"361",405.248084002718
"362",405.002324585534
"363",401.585879066176
"364",402.200013928892
"365",423.238256867345
"366",465.225569389447
"367",508.953123874427
"368",521.911381113239
"369",491.765665592053
"370",449.961734859615
"371",393.25638593213
"372",340.730191664753
"373",303.248617512335
"374",280.389440018532
"375",281.890564249619
"376",276.488560366315
"377",278.489886794919
"378",294.883376973897
"379",340.446239163637
"380",395.696338008059
"381",430.85140174841
"382",423.852376309807
"383",429.225973904765
"384",418.348098428746
"385",410.876512076549
"386",409.687168919984
"387",412.949268901479
"388",410.591724311227
"389",431.811477147978
"390",478.68612845863
"391",515.718422163826
"392",526.24288339724
"393",496.017812529388
"394",466.113402896005
"395",408.508902343386
"396",348.634853181246
"397",308.944259655369
"398",290.676513554713
"399",281.430750898614
"400",278.462657705917
"401",283.151420301932
"402",300.254023274788
"403",346.96930371474
"404",397.000668141498
"405",425.875365861368
"406",418.234255876426
"407",415.567595115771
"408",397.294664650348
"409",390.032102377911
"410",384.830932655842
"411",380.184036921848
"412",379.585516254353
"413",397.968625054871
"414",446.971411761658
"415",490.791243132528
"416",508.297666455604
"417",489.468652815499
"418",456.63207835541
"419",400.952209865984
"420",342.928590576582
"421",310.511402577891
"422",291.183773359973
"423",284.587355507672
"424",280.822773732153
"425",286.884772441209
"426",305.366977479829
"427",348.053434203652
"428",400.142316919999
"429",428.359942945832
"430",435.77073546886
"431",432.937001127808
"432",422.201928885743
"433",412.67614947627
"434",409.953921282816
"435",403.370146348945
"436",402.405813183484
"437",421.225149435935
"438",467.349333230471
"439",506.936269658572
"440",520.887013681127
"441",494.547822641756
"442",460.94603788878
"443",397.477972052611
"444",352.155222730668
"445",321.383180049402
"446",288.347709956165
"447",287.734879458612
"448",281.848554329918
"449",288.991203835544
"450",302.680798778068
"451",336.644927063028
"452",368.493682466456
"453",378.687653434899
"454",411.971871486254
"455",428.047118163812
"456",423.722883130604
"457",424.808186608105
"458",409.839528131782
"459",407.619834846612
"460",396.791351187628
"461",408.979201449747
"462",459.730237624791
"463",499.957810778455
"464",515.085372510799
"465",491.229802099091
"466",458.14401103737
"467",401.675300112022
"468",354.521189377544
"469",318.768006446548
"470",298.415440165168
"471",287.387336929115
"472",282.912684630275
"473",285.985460151308
"474",296.213026061709
"475",324.26312483697
"476",355.245736617625
"477",343.578043991333
"478",370.90279546309
"479",369.460779776564
"480",359.210099570321
"481",354.142406744455
"482",346.93583759413
"483",344.148198049456
"484",334.667752569044
"485",355.923966045112
"486",410.646578165639
"487",448.991844516288
"488",480.853105923927
"489",452.876350968328
"490",429.276954934483
"491",377.732944286208
"492",334.142826451552
"493",294.985662094781
"494",282.694476181553
"495",273.912264745
"496",275.231057104298
"497",272.516062265883
"498",289.064894111538
"499",333.723757835483
"500",379.79141629128
"501",409.95658220842
"502",439.368112696551
"503",420.168056406109
"504",413.504662643764
"505",397.232927100483
"506",374.049325569936
"507",374.593898961198
"508",376.370399104605
"509",384.178732292239
"510",447.361529824153
"511",494.123244901567
"512",517.76948829149
"513",489.662687658981
"514",449.306612177377
"515",400.679536767907
"516",349.775980490642
"517",306.964974001211
"518",289.44499007106
"519",276.907731211646
"520",281.511078419581
"521",280.461242541986
"522",296.64638027233
"523",338.856459087899
"524",384.300588050888
"525",403.995682694488
"526",410.699456418436
"527",405.175685102135
"528",397.13630543144
"529",378.709895512123
"530",368.420986395852
"531",365.698611823779
"532",350.580510346188
"533",378.287082130149
"534",435.255856802836
"535",482.277953631261
"536",515.942750171672
"537",479.076489546293
"538",455.358825761679
"539",393.687807670057
"540",341.830150797577
"541",301.688613602608
"542",286.762171408511
"543",277.916426399032
"544",274.206096395839
"545",278.845455657921
"546",297.8518992878
"547",336.746404157112
"548",381.605064703151
"549",402.577082381295
"550",416.590983665157
"551",403.244886579548
"552",387.337103809271
"553",377.05837994961
"554",363.286366162036
"555",358.927714102107
"556",357.343203981431
"557",377.416535437989
"558",433.223501245318
"559",487.101192794801
"560",511.156909404353
"561",489.145062614327
"562",462.039598338284
"563",398.956325769653
"564",344.376217077307
"565",306.76158011353
"566",286.529308066691
"567",275.616653910974
"568",277.328691848468
"569",281.133318755314
"570",293.244361071024
"571",333.029529320051
"572",377.554966906914
"573",397.673668471705
"574",404.157164259016
"575",404.123172817783
"576",391.662297616772
"577",382.847514936639
"578",375.145781415318
"579",365.083597638954
"580",356.221369238816
"581",375.88774634373
"582",435.040449810128
"583",487.359487888571
"584",503.582257661445
"585",487.217312705912
"586",449.339655650473
"587",388.668921477723
"588",346.018107733996
"589",300.61392620054
"590",281.307509374215
"591",277.15438287445
"592",274.518424101877
"593",280.038421504666
"594",300.2590272518
"595",333.342082059798
"596",377.904516225943
"597",398.103952790413
"598",408.220152156131
"599",384.834502946108
"600",369.118647587957
"601",360.513118908461
"602",354.937270912941
"603",348.110481664168
"604",342.056298517129
"605",363.372813966398
"606",423.17587195023
"607",473.973270164801
"608",500.117278307923
"609",474.865910367894
"610",435.840811846433
"611",385.929236569986
"612",334.087193182359
"613",299.967864697546
"614",280.353519145823
"615",272.62519057209
"616",270.555806278206
"617",271.637340136078
"618",288.270235992204
"619",314.05723751711
"620",341.897978137287
"621",357.557150580302
"622",388.990782194283
"623",399.537992075942
"624",401.513122235065
"625",403.282602504254
"626",392.517797882141
"627",383.607224043816
"628",388.385692472018
"629",413.362572283287
"630",458.489909244564
"631",500.377804602199
"632",500.792160530008
"633",477.179006069207
"634",450.412018213653
"635",394.381675779132
"636",342.056818952207
"637",302.918020364358
"638",284.339887391345
"639",270.562648239935
"640",267.84246559835
"641",269.876738444828
"642",278.861200182349
"643",308.893340631786
"644",321.485536607739
"645",322.778844244757
"646",347.175241436779
"647",346.905069479686
"648",319.493532220121
"649",318.697178011468
"650",344.061841193632
"651",318.371819268311
"652",328.275692787355
"653",346.93913172634
"654",393.875564839565
"655",437.803172102218
"656",461.018373345339
"657",448.093100139103
"658",420.295019031412
"659",366.185177488687
"660",316.708512771724
"661",280.130443325348
"662",263.309732973419
"663",257.075128729863
"664",256.769271900448
"665",257.524519240411
"666",274.579445288564
"667",310.352768897633
"668",370.840851211006
"669",412.830051184885
"670",409.758477467291
"671",385.608229483265
"672",374.538137405864
"673",351.433845775999
"674",351.79570859784
"675",366.856789240969
"676",359.840271367872
"677",359.526052881117
"678",413.921011553453
"679",475.979478444233
"680",490.117756556965
"681",476.390614377373
"682",440.527200341508
"683",385.285751893389
"684",323.653472054891
"685",283.300568217009
"686",264.158614140821
"687",263.431740636157
"688",259.691907971093
"689",264.743631029905
"690",277.023117098642
"691",320.364886286566
"692",371.519328375248
"693",407.439194309196
"694",382.416795201007
"695",367.217955792288
"696",344.864264374392
"697",344.633514129858
"698",341.829886536741
"699",344.03456173372
"700",348.66703770906
"701",357.657453956002
"702",406.821227936728
"703",467.371495363234
"704",484.923652855664
"705",472.663903444175
"706",432.401146336855
"707",376.928924289229
"708",315.12399872775
"709",279.806072076761
"710",265.840955746505
"711",253.588490847427
"712",255.262450762172
"713",256.163149260692
"714",275.711781729963
"715",313.828075159142
"716",367.648721428325
"717",400.309286874042
"718",377.13339393093
"719",363.329766470874
"720",352.390419472016
"721",347.164938852675
