"","x"
"1",220.422855758606
"2",213.665378529879
"3",216.580078227417
"4",223.592943033553
"5",244.294073925101
"6",297.498912939154
"7",320.100227828753
"8",328.496931490975
"9",314.703845702088
"10",283.275577337268
"11",244.077851987526
"12",197.92220523497
"13",168.822969036235
"14",151.196856364717
"15",148.68611130333
"16",140.95786437249
"17",145.471158480248
"18",157.189438832638
"19",187.527601883867
"20",225.095826689689
"21",244.216695428793
"22",235.134497580138
"23",229.812384091065
"24",228.524115096438
"25",215.483417248887
"26",215.223855959313
"27",218.76729005641
"28",219.182084053659
"29",246.904786428197
"30",295.164204586191
"31",327.432093739791
"32",330.866019125801
"33",317.384474590435
"34",283.761384187339
"35",245.916487097508
"36",196.896104035361
"37",172.390492968757
"38",159.151800339557
"39",149.969029812936
"40",149.311612048719
"41",148.038361203449
"42",161.63450378178
"43",190.959444986597
"44",225.974209899315
"45",242.828957678157
"46",233.536935251086
"47",235.033446461857
"48",228.750222040858
"49",224.039720776028
"50",225.351751982614
"51",226.671572960343
"52",233.948759732442
"53",261.05022646175
"54",304.780574183501
"55",328.823977410694
"56",326.731715484267
"57",319.516750942324
"58",280.661198897203
"59",244.782438428977
"60",198.285592670279
"61",172.518914867148
"62",148.474814880146
"63",142.879371603746
"64",143.807895767957
"65",147.70928918508
"66",158.791760659809
"67",188.698948234638
"68",225.855381924133
"69",242.75412641272
"70",242.178937966377
"71",241.41449411411
"72",229.879582803988
"73",228.683342330569
"74",219.810530954161
"75",229.190321853346
"76",231.093798637515
"77",249.54590722176
"78",298.151765716011
"79",321.513511862321
"80",332.118643924112
"81",318.208080892703
"82",292.948895909858
"83",251.799318557355
"84",195.311155337546
"85",170.931928990049
"86",155.649674560394
"87",147.868164515774
"88",149.97366157926
"89",152.000551824567
"90",162.9219731226
"91",194.421792763272
"92",229.108011595199
"93",245.069773624582
"94",237.906253837422
"95",243.576916664195
"96",218.364439652852
"97",226.408546133068
"98",223.898585781083
"99",223.512284068884
"100",233.170238559568
"101",255.649416605937
"102",314.96711532345
"103",336.149873502226
"104",330.772312538857
"105",315.552769370237
"106",280.905726620147
"107",243.145486870451
"108",205.156418985279
"109",172.246526235022
"110",156.150015798913
"111",151.473329835735
"112",148.995790881179
"113",149.159276173073
"114",161.295360188843
"115",183.786257236867
"116",204.615017607288
"117",210.928389116655
"118",240.429424673074
"119",268.438500899471
"120",255.122920658048
"121",251.680193872405
"122",245.52551207955
"123",246.445701333691
"124",258.894935994063
"125",282.006792026612
"126",328.13012788509
"127",343.286738986335
"128",332.136127950804
"129",320.312107595916
"130",291.403042276875
"131",249.377131863102
"132",210.668547272095
"133",182.300521270189
"134",162.233144362306
"135",160.563058837696
"136",151.351841630888
"137",149.650640991014
"138",163.202460658598
"139",180.733360651365
"140",202.303435364895
"141",201.339256540972
"142",216.534859950676
"143",214.801443230056
"144",215.981482698499
"145",206.782496287878
"146",216.563661557317
"147",213.228401669166
"148",215.7327961522
"149",248.815719464969
"150",295.672914257387
"151",317.60506542497
"152",313.952045570356
"153",302.962993287136
"154",282.942778116293
"155",238.47180848924
"156",199.045217867917
"157",167.867806592319
"158",148.7972882767
"159",143.477247838183
"160",141.377580148618
"161",142.987466913794
"162",157.254490620699
"163",186.786854113206
"164",218.841489274657
"165",241.466766027578
"166",234.553836392808
"167",236.800059712312
"168",219.310440141663
"169",211.659536455771
"170",203.885668065077
"171",208.121419581486
"172",215.672097766816
"173",249.230746958816
"174",284.598730058157
"175",312.418433661309
"176",316.947406215369
"177",300.963961122457
"178",275.714448030314
"179",228.638764759003
"180",189.346356848849
"181",159.248579717319
"182",143.318612370035
"183",136.461183795937
"184",132.227429827487
"185",129.501909809061
"186",144.976204543331
"187",169.632631831937
"188",207.906776631654
"189",232.245155374737
"190",221.392162530292
"191",219.913126984402
"192",215.900261962807
"193",214.325551837501
"194",214.680370009095
"195",220.397118370473
"196",226.749964090731
"197",253.713808438785
"198",290.944907378652
"199",318.042851247151
"200",318.55469098659
"201",301.737243545677
"202",276.748767351513
"203",227.994875701737
"204",189.139445047778
"205",159.221647373281
"206",141.81297555339
"207",137.464455453848
"208",136.396135948946
"209",136.641787952945
"210",150.189167652381
"211",182.697977914696
"212",207.42382480701
"213",233.886064629147
"214",225.508284602427
"215",228.536835036838
"216",219.327356578727
