,x
1,418.4057388
2,478.6011791
3,510.2594732
4,503.9780244
5,484.3505394
6,441.9906272
7,389.686049
8,342.1435831
9,302.2697539
10,280.8524266
11,272.1206855
12,270.6978052
13,270.1996664
14,282.4471124
15,316.1030473
16,346.7501832
17,357.5400651
18,399.5021474
19,427.8176101
20,410.6674893
21,406.9240246
22,394.7452828
23,395.1340265
24,403.0565747
25,433.9895597
26,489.7925298
27,495.9635846
28,500.6157766
29,478.7564156
30,446.5181224
31,393.2930306
32,338.9613765
33,306.9085685
34,275.1724627
35,275.3118305
36,259.727687
37,262.5501258
38,276.7433306
39,302.9884482
40,329.5842156
41,328.0818067
42,351.8971578
43,344.9242882
44,345.2715757
45,330.9048029
46,343.3136219
47,339.0663128
48,335.5685182
49,382.6653148
50,437.5057713
51,455.9656298
52,466.3653217
53,457.7021706
54,424.7808071
55,372.0229525
56,318.1598187
57,281.1159366
58,256.1641037
59,250.3082977
60,246.7051411
61,248.9550311
62,267.7228465
63,309.9373293
64,368.8661469
65,409.9988395
66,401.866228
67,409.574074
68,384.2593599
69,373.9586313
70,365.0663542
71,367.4876998
72,369.1672069
73,405.5144959
74,453.196163
75,481.3016148
76,486.1142827
77,472.5217957
78,437.5986139
79,374.7250161
80,319.3346062
81,283.4669335
82,267.7922282
83,256.7180296
84,250.9009311
85,250.5747599
86,270.8415457
87,309.0351459
88,369.3451228
89,404.7809198
90,387.4295811
91,385.5334539
92,380.6517983
93,379.4733546
94,377.657379
95,379.85974
96,385.9067564
97,413.1486018
98,464.154469
99,490.567957
100,490.2881425
101,471.1445101
102,436.1626984
103,368.6677997
104,323.3736022
105,284.0915559
106,260.3217309
107,256.2973857
108,253.6905268
109,253.9852961
110,273.3870101
111,321.3586073
112,367.7256326
113,403.5956007
114,395.2233508
115,394.708878
116,384.9593211
117,379.9191981
118,383.753667
119,385.9399545
120,382.7951293
121,423.2334836
122,468.5289607
123,497.5484794
124,494.4806283
125,476.3846915
126,439.0371843
127,377.1972064
128,327.5598988
129,286.9916293
130,258.8105694
131,258.0960672
132,254.8436724
133,253.8764278
134,276.3741007
135,318.5636105
136,378.6733389
137,410.0746874
138,406.387711
139,412.7885439
140,400.6675515
141,394.2646088
142,398.5103589
143,396.6535874
144,403.9694439
145,441.03789
146,477.6422519
147,492.4063479
148,501.6123783
149,476.5701495
150,443.7964827
151,384.9626863
152,328.104284
153,290.6830231
154,270.8417167
155,260.5388135
156,258.2885643
157,261.7656202
158,281.1009375
159,321.6214145
160,377.5624285
161,411.2613693
162,399.6258433
163,407.0307576
164,393.2930899
165,384.1204961
166,377.6690187
167,379.9768327
168,379.3499725
169,416.5766011
170,461.3910769
171,504.6212102
172,505.6780439
173,482.7406564
174,445.0029947
175,386.6004507
176,338.6477823
177,300.2944438
178,280.8363282
179,271.0991725
180,270.2025401
181,265.728371
182,288.1751642
183,322.5302381
184,349.8327554
185,362.4726618
186,392.9856588
187,418.7528973
188,420.107827
189,426.0650292
190,427.9338023
191,425.7885287
192,419.8516706
193,450.2877986
194,483.2574595
195,517.1484481
196,517.2131755
197,493.725726
198,456.8155081
199,400.1491845
200,352.5032543
201,316.5220075
202,294.0306805
203,281.5176625
204,276.719987
205,274.9731747
206,292.391504
207,321.0738195
208,338.8446414
209,342.1129596
210,363.9926994
211,378.8200728
212,370.1430567
213,367.3849501
214,380.7327422
215,373.3529089
216,376.5098644
217,397.7875362
218,435.6341846
219,473.4188647
220,490.0321931
221,469.6424073
222,441.0145378
223,390.7329551
224,336.9398887
225,301.3185837
226,280.050179
227,274.1867157
228,267.1353675
229,271.7200096
230,291.6912815
231,337.390265
232,390.9911367
233,412.4378654
234,421.6813397
235,427.7692071
236,418.8626918
237,410.6120078
238,411.6994463
239,409.958483
240,411.280555
241,430.2803539
242,442.0905281
243,510.909756
244,515.9647767
245,495.7309144
246,457.5953682
247,391.6287706
248,339.6510981
249,301.110518
250,282.6323959
251,274.0579564
252,273.0706087
253,275.3347101
254,296.8957518
255,340.6142393
256,395.3212255
257,426.4837839
258,424.5295677
259,423.4095156
260,411.3519832
261,403.3347325
262,404.9778636
263,403.8818019
264,404.4459875
265,424.8174894
266,466.4819016
267,508.0308022
268,520.3413808
269,494.1774819
270,451.0072278
271,393.7291434
272,341.3908102
273,305.8136264
274,281.3217574
275,282.4774198
276,277.7915876
277,278.7032385
278,295.892225
279,343.8741699
280,399.0733059
281,428.1892261
282,422.0570631
283,429.345138
284,415.1579042
285,408.8755185
286,412.5585338
287,410.0017163
288,408.3158707
289,436.0520386
290,475.7264021
291,513.8512833
292,526.4920507
293,498.7195754
294,464.3028514
295,405.4310463
296,349.3819627
297,309.8670113
298,292.4022172
299,282.1330032
300,279.3875374
301,283.5193149
302,300.9858398
303,350.1118701
304,399.6715041
305,421.2086136
306,413.7089098
307,413.973091
308,398.46992
309,387.4213667
310,387.3610043
