,x,
1,2.676627815,2.673941999
2,2.638349982,2.627365857
3,2.572058468,2.57054294
4,2.510342807,2.50242712
5,2.457762894,2.447158031
6,2.418017368,2.418301291
7,2.408386913,2.40654018
8,2.407279453,2.403120521
9,2.405249413,2.409933123
10,2.433999554,2.445604203
11,2.503396141,2.507855872
12,2.559148567,2.582063363
13,2.605093005,2.595496222
14,2.596942692,2.597695186
15,2.590791615,2.596597096
16,2.588608235,2.591064607
17,2.582155748,2.58546073
18,2.584487195,2.589949601
19,2.586447521,2.584331224
20,2.58186334,2.591064607
21,2.626957823,2.617000341
22,2.67959785,2.666517981
23,2.695151216,2.696356389
24,2.692820445,2.691965103
25,2.675045952,2.675778342
26,2.644161473,2.635483747
27,2.577850142,2.57863921
28,2.514887118,2.509202522
29,2.460329654,2.447158031
30,2.414378392,2.419955748
31,2.410196492,2.408239965
32,2.40641231,2.401400541
33,2.404728497,2.411619706
34,2.44024291,2.440909082
35,2.496590577,2.514547753
36,2.575132951,2.589949601
37,2.610442861,2.608526034
38,2.604967481,2.615950052
39,2.610056147,2.613841822
40,2.600626639,2.606381365
41,2.59455111,2.604226053
42,2.601738878,2.603144373
43,2.599571029,2.607455023
44,2.608688005,2.613841822
45,2.645339567,2.62838893
46,2.675944448,2.669316881
47,2.699254853,2.699837726
48,2.698319317,2.695481676
49,2.679002557,2.679427897
50,2.649451047,2.641474111
51,2.583123738,2.583198774
52,2.52079368,2.514547753
53,2.464464686,2.463892989
54,2.432965922,2.42975228
55,2.417151813,2.414973348
56,2.4121996,2.414973348
57,2.418101329,2.424881637
58,2.452867571,2.44870632
59,2.50667751,2.51851394
60,2.576297339,2.592176757
61,2.617489774,2.605305046
62,2.605685144,2.609594409
63,2.605932522,2.605305046
64,2.595651926,2.595496222
65,2.583753985,2.579783597
66,2.577582726,2.57863921
67,2.577393995,2.575187845
68,2.577003152,2.584331224
69,2.620695249,2.610660163
70,2.66419864,2.669316881
71,2.703471083,2.705863712
72,2.703976762,2.702430536
73,2.68360501,2.683947131
74,2.650019747,2.64738297
75,2.588644139,2.59439255
76,2.531627231,2.530199698
77,2.47983793,2.481442629
78,2.448149671,2.44870632
79,2.433350875,2.436162647
80,2.433060015,2.424881637
81,2.424836553,2.432969291
82,2.459487328,2.450249108
83,2.507745087,2.487138375
84,2.539304194,2.531478917
85,2.554117786,2.580924976
86,2.602280837,2.618048097
87,2.623585353,2.635483747
88,2.627896643,2.643452676
89,2.630678019,2.639486489
90,2.637683881,2.636487896
91,2.633065731,2.62838893
92,2.621073617,2.627365857
93,2.655078883,2.638489257
94,2.684099944,2.682145076
95,2.715251712,2.71432976
96,2.707127618,2.7084209
97,2.690524859,2.692846919
98,2.657670792,2.660865478
99,2.602470364,2.610660163
100,2.547979405,2.552668216
101,2.50165759,2.50242712
102,2.467808854,2.46686762
103,2.450063519,2.447158031
104,2.441459512,2.439332694
105,2.439602195,2.440909082
106,2.463929733,2.451786436
107,2.509506007,2.477121255
108,2.532786104,2.505149978
109,2.522596849,2.541579244
110,2.558942221,2.568201724
111,2.580666018,2.572871602
112,2.564565171,2.57054294
113,2.562080676,2.57863921
114,2.58258793,2.5774918
115,2.57437756,2.574031268
116,2.576883005,2.56937391
117,2.601980591,2.582063363
118,2.634339568,2.636487896
119,2.667899457,2.686636269
120,2.690641205,2.69019608
121,2.671037799,2.677606953
122,2.64588719,2.646403726
123,2.590611628,2.592176757
124,2.527962894,2.531478917
125,2.480286865,2.478566496
126,2.445335337,2.450249108
127,2.437841194,2.432969291
128,2.427727678,2.42975228
129,2.431548275,2.437750563
130,2.465238241,2.469822016
131,2.527111395,2.53529412
