,x,
1,2.232703694,2.230448921
2,2.208431738,2.198657087
3,2.157129267,2.161368002
4,2.127238763,2.120573931
5,2.096084456,2.093421685
6,2.07668538,2.079181246
7,2.072200144,2.071882007
8,2.071362823,2.071882007
9,2.073401635,2.075546961
10,2.088509044,2.093421685
11,2.136983188,2.146128036
12,2.193442445,2.209515015
13,2.230523619,2.225309282
14,2.222652864,2.227886705
15,2.223477049,2.225309282
16,2.219658116,2.222716471
17,2.21736871,2.220108088
18,2.216189118,2.220108088
19,2.212150522,2.209515015
20,2.198971268,2.204119983
21,2.221747965,2.209515015
22,2.238338992,2.23299611
23,2.246274972,2.245512668
24,2.240102376,2.240549248
25,2.230366953,2.230448921
26,2.207009635,2.204119983
27,2.163007841,2.167317335
28,2.133155189,2.127104798
29,2.10460074,2.10720997
30,2.092150692,2.093421685
31,2.08542653,2.089905111
32,2.087982869,2.086359831
33,2.087009501,2.089905111
34,2.104598766,2.103803721
35,2.147024951,2.149219113
36,2.195019572,2.214843848
37,2.238799786,2.230448921
38,2.227247959,2.238046103
39,2.238178205,2.23299611
40,2.227166161,2.23299611
41,2.228858566,2.235528447
42,2.234287424,2.230448921
43,2.221883554,2.225309282
44,2.219673514,2.217483944
45,2.228774887,2.220108088
46,2.248387203,2.238046103
47,2.252110066,2.250420002
48,2.247377753,2.247973266
49,2.239099731,2.235528447
50,2.207658859,2.212187604
51,2.174174158,2.173186268
52,2.13656189,2.130333768
53,2.104922636,2.10720997
54,2.092084303,2.089905111
55,2.08202165,2.08278537
56,2.082357127,2.08278537
57,2.083034638,2.086359831
58,2.102916771,2.100370545
59,2.143503593,2.152288344
60,2.206164188,2.217483944
61,2.241253948,2.23299611
62,2.230464696,2.238046103
63,2.23297556,2.23299611
64,2.228049437,2.227886705
65,2.224052858,2.220108088
66,2.214579188,2.217483944
67,2.210398726,2.206825876
68,2.197239261,2.195899652
69,2.206206661,2.204119983
70,2.237019665,2.23299611
71,2.249573177,2.250420002
72,2.248014408,2.247973266
73,2.238183596,2.235528447
74,2.206890571,2.209515015
75,2.174101741,2.170261715
76,2.130421334,2.139879086
77,2.122889656,2.117271296
78,2.100347125,2.103803721
79,2.09651669,2.093421685
80,2.090542411,2.089905111
81,2.091283546,2.079181246
82,2.085919664,2.086359831
83,2.130672668,2.11058971
84,2.156216621,2.139879086
85,2.149454728,2.164352856
86,2.170071982,2.184691431
87,2.19144732,2.190331698
88,2.187237353,2.195899652
89,2.193919988,2.190331698
90,2.187255989,2.184691431
91,2.176503054,2.170261715
92,2.160238855,2.164352856
93,2.17825032,2.170261715
94,2.201438317,2.198657087
95,2.209251287,2.220108088
96,2.221823824,2.217483944
97,2.207156904,2.206825876
98,2.179753411,2.184691431
99,2.150978,2.149219113
100,2.111270382,2.117271296
