[1] "1 forecasted vs actual:  6.16352320423276 6.15697898558556"
[1] "2 forecasted vs actual:  6.08837991416244 6.04973345523196"
[1] "3 forecasted vs actual:  5.92565059204791 5.91889385427315"
[1] "4 forecasted vs actual:  5.78027815591872 5.76205138278018"
[1] "5 forecasted vs actual:  5.65494813273959 5.63478960316925"
[1] "6 forecasted vs actual:  5.56769045580915 5.5683445037611"
[1] "7 forecasted vs actual:  5.54551000810632 5.54126354515843"
[1] "8 forecasted vs actual:  5.53141652344256 5.53338948872752"
[1] "9 forecasted vs actual:  5.54211344595454 5.54907608489522"
[1] "10 forecasted vs actual:  5.60437510308927 5.63121178182137"
[1] "11 forecasted vs actual:  5.75971201586549 5.77455154554441"
[1] "12 forecasted vs actual:  5.89351713701042 5.94542060860658"
[1] "13 forecasted vs actual:  5.99777137379811 5.97635090929793"
[1] "14 forecasted vs actual:  5.97776640285674 5.98141421125448"
[1] "15 forecasted vs actual:  5.96551149403853 5.97888576490112"
[1] "16 forecasted vs actual:  5.96017436538036 5.96614673912369"
[1] "17 forecasted vs actual:  5.94563097961715 5.95324333428778"
[1] "18 forecasted vs actual:  5.9424800042832 5.96357934361845"
[1] "19 forecasted vs actual:  5.95474289752208 5.95064255258773"
[1] "20 forecasted vs actual:  5.94566894548108 5.96614673912369"
[1] "21 forecasted vs actual:  6.04037974111419 6.02586597382531"
[1] "22 forecasted vs actual:  6.17000318600845 6.13988455222626"
[1] "23 forecasted vs actual:  6.20581549516143 6.20859002609663"
[1] "24 forecasted vs actual:  6.21513899196039 6.19847871649231"
[1] "25 forecasted vs actual:  6.15859063840616 6.16120732169508"
[1] "26 forecasted vs actual:  6.08840688668798 6.06842558824411"
[1] "27 forecasted vs actual:  5.93760579742379 5.93753620508243"
[1] "28 forecasted vs actual:  5.7907388695432 5.77765232322266"
[1] "29 forecasted vs actual:  5.66512223653506 5.63478960316925"
[1] "30 forecasted vs actual:  5.55931187251061 5.57215403217776"
[1] "31 forecasted vs actual:  5.556031116771 5.54517744447956"
[1] "32 forecasted vs actual:  5.54069326406877 5.52942908751142"
[1] "33 forecasted vs actual:  5.53709199017736 5.55295958492162"
[1] "34 forecasted vs actual:  5.61540829185807 5.62040086571715"
[1] "35 forecasted vs actual:  5.74907794721994 5.78996017089725"
[1] "36 forecasted vs actual:  5.92826688273006 5.96357934361845"
[1] "37 forecasted vs actual:  6.01437253823296 6.00635315960173"
[1] "38 forecasted vs actual:  5.99846804746981 6.02344759296103"
[1] "39 forecasted vs actual:  6.02264623288527 6.01859321449623"
[1] "40 forecasted vs actual:  5.98819256524283 6.00141487796115"
[1] "41 forecasted vs actual:  5.97416409524398 5.99645208861902"
[1] "42 forecasted vs actual:  5.98498022728351 5.99396142730657"
[1] "43 forecasted vs actual:  5.98376151827726 6.00388706710654"
[1] "44 forecasted vs actual:  6.00672463514317 6.01859321449623"
[1] "45 forecasted vs actual:  6.09111945201596 6.05208916892442"
[1] "46 forecasted vs actual:  6.16158979468888 6.1463292576689"
[1] "47 forecasted vs actual:  6.20487894395576 6.21660610108486"
[1] "48 forecasted vs actual:  6.21310991475704 6.20657592672493"
[1] "49 forecasted vs actual:  6.16883554193462 6.16961073249146"
[1] "50 forecasted vs actual:  6.09987387843854 6.08221891037645"
[1] "51 forecasted vs actual:  5.94786766975746 5.94803498918065"
[1] "52 forecasted vs actual:  5.8029281279773 5.78996017089725"
[1] "53 forecasted vs actual:  5.67463392138905 5.67332326717149"
[1] "54 forecasted vs actual:  5.60475522438421 5.59471137960184"
[1] "55 forecasted vs actual:  5.56480629509413 5.56068163101553"
[1] "56 forecasted vs actual:  5.55406062453032 5.56068163101553"
[1] "57 forecasted vs actual:  5.56891668253866 5.5834963087817"
[1] "58 forecasted vs actual:  5.64938206971253 5.63835466933375"
[1] "59 forecasted vs actual:  5.77184136800631 5.79909265446053"
[1] "60 forecasted vs actual:  5.93672230345366 5.96870755998537"
[1] "61 forecasted vs actual:  6.02053615444498 5.99893656194668"
[1] "62 forecasted vs actual:  5.99842446811299 6.00881318544259"
[1] "63 forecasted vs actual:  6.00039259649092 5.99893656194668"
[1] "64 forecasted vs actual:  5.95804294626737 5.97635090929793"
[1] "65 forecasted vs actual:  5.9489511749217 5.94017125272043"
[1] "66 forecasted vs actual:  5.93510356015434 5.93753620508243"
[1] "67 forecasted vs actual:  5.93466899219551 5.92958914338989"
[1] "68 forecasted vs actual:  5.93376904177378 5.95064255258773"
[1] "69 forecasted vs actual:  6.03437319390289 6.01126717440416"
[1] "70 forecasted vs actual:  6.13454407427625 6.1463292576689"
[1] "71 forecasted vs actual:  6.22497221599278 6.23048144757848"
[1] "72 forecasted vs actual:  6.22619111509681 6.22257626807137"
[1] "73 forecasted vs actual:  6.179237359154 6.18001665365257"
[1] "74 forecasted vs actual:  6.10139070711226 6.09582456243222"
[1] "75 forecasted vs actual:  5.96077817350746 5.97380961186926"
[1] "76 forecasted vs actual:  5.82928407544401 5.82600010738045"
[1] "77 forecasted vs actual:  5.70807050569836 5.71373280550937"
[1] "78 forecasted vs actual:  5.63618128588433 5.63835466933375"
[1] "79 forecasted vs actual:  5.60299450706979 5.60947179518496"
[1] "80 forecasted vs actual:  5.60209406089526 5.5834963087817"
[1] "81 forecasted vs actual:  5.5838126123092 5.6021188208797"
[1] "82 forecasted vs actual:  5.66318020496614 5.64190707093811"
[1] "83 forecasted vs actual:  5.77441645516 5.7268477475872"
[1] "84 forecasted vs actual:  5.84734620421744 5.82894561761021"
[1] "85 forecasted vs actual:  5.88055527587678 5.9427993751267"
[1] "86 forecasted vs actual:  5.97017679907154 6.0282785202307"
[1] "87 forecasted vs actual:  6.04102607881298 6.06842558824411"
[1] "88 forecasted vs actual:  6.05095677707038 6.08677472691231"
[1] "89 forecasted vs actual:  6.05735901101477 6.07764224334903"
[1] "90 forecasted vs actual:  6.07348898263345 6.07073772800249"
[1] "91 forecasted vs actual:  6.06285767846022 6.05208916892442"
[1] "92 forecasted vs actual:  6.03524379898636 6.04973345523196"
[1] "93 forecasted vs actual:  6.1135500205197 6.07534603108868"
[1] "94 forecasted vs actual:  6.18036151827928 6.17586727010576"
[1] "95 forecasted vs actual:  6.24966430612049 6.24997524225948"
[1] "96 forecasted vs actual:  6.23841578824632 6.2363695902037"
[1] "97 forecasted vs actual:  6.19123481334677 6.20050917404269"
[1] "98 forecasted vs actual:  6.11950288151165 6.12686918411419"
[1] "99 forecasted vs actual:  5.99480390720094 6.01126717440416"
[1] "100 forecasted vs actual:  5.86495906750574 5.87773578177964"
[1] "101 forecasted vs actual:  5.76024553600488 5.76205138278018"
[1] "102 forecasted vs actual:  5.68435468401771 5.68017260901707"
[1] "103 forecasted vs actual:  5.64195396484309 5.63478960316925"
[1] "104 forecasted vs actual:  5.6209584658448 5.61677109766657"
[1] "105 forecasted vs actual:  5.61739164756388 5.62040086571715"
[1] "106 forecasted vs actual:  5.67855829887848 5.64544689764324"
[1] "107 forecasted vs actual:  5.77813936626986 5.7037824746562"
[1] "108 forecasted vs actual:  5.83196291827315 5.76832099579377"
[1] "109 forecasted vs actual:  5.81667441619987 5.85220247977447"
[1] "110 forecasted vs actual:  5.892168366164 5.91350300563827"
[1] "111 forecasted vs actual:  5.94151502235586 5.92425579741453"
[1] "112 forecasted vs actual:  5.90512936105067 5.91889385427315"
[1] "113 forecasted vs actual:  5.91440003082032 5.93753620508243"
[1] "114 forecasted vs actual:  5.94663626900664 5.93489419561959"
[1] "115 forecasted vs actual:  5.92772119551626 5.92692602597041"
[1] "116 forecasted vs actual:  5.9333788395361 5.91620206260743"
[1] "117 forecasted vs actual:  5.97962194086715 5.94542060860658"
[1] "118 forecasted vs actual:  6.06579101987434 6.07073772800249"
[1] "119 forecasted vs actual:  6.15738696787818 6.18620862390049"
[1] "120 forecasted vs actual:  6.19780422914778 6.19440539110467"
[1] "121 forecasted vs actual:  6.15029216436567 6.16541785423142"
[1] "122 forecasted vs actual:  6.08776306534943 6.09356977004514"
[1] "123 forecasted vs actual:  5.96384266175043 5.96870755998537"
[1] "124 forecasted vs actual:  5.82277057667671 5.82894561761021"
[1] "125 forecasted vs actual:  5.71110178453611 5.70711026474888"
[1] "126 forecasted vs actual:  5.63060436933772 5.64190707093811"
[1] "127 forecasted vs actual:  5.61285467309962 5.6021188208797"
[1] "128 forecasted vs actual:  5.59001335602905 5.59471137960184"
[1] "129 forecasted vs actual:  5.59884632193844 5.61312810638807"
[1] "130 forecasted vs actual:  5.67641754025383 5.68697535633982"
[1] "131 forecasted vs actual:  5.81906573599332 5.83773044716594"
[1] "132 forecasted vs actual:  5.96889239423685 5.97380961186926"
[1] "133 forecasted vs actual:  6.027990585013 6.02102334934953"
[1] "134 forecasted vs actual:  6.02773190542266 6.05443934626937"
[1] "135 forecasted vs actual:  6.05421521813864 6.0591231955818"
[1] "136 forecasted vs actual:  6.02952908556183 6.04263283368238"
[1] "137 forecasted vs actual:  6.00958524276932 6.0282785202307"
[1] "138 forecasted vs actual:  6.01308346838469 6.02102334934953"
[1] "139 forecasted vs actual:  6.01353244164527 6.01615715969835"
[1] "140 forecasted vs actual:  6.02183169338998 6.00388706710654"
[1] "141 forecasted vs actual:  6.07160993092675 5.98393628068719"
[1] "142 forecasted vs actual:  6.08136643517981 6.14418563412565"
[1] "143 forecasted vs actual:  6.23814193950531 6.24610676548156"
[1] "144 forecasted vs actual:  6.23749627399544 6.24610676548156"
[1] "145 forecasted vs actual:  6.19755408278795 6.20859002609663"
[1] "146 forecasted vs actual:  6.12507048411385 6.11146733950268"
[1] "147 forecasted vs actual:  5.97391558416196 5.97635090929793"
[1] "148 forecasted vs actual:  5.83748738767041 5.82600010738045"
[1] "149 forecasted vs actual:  5.70595676206787 5.71702770140622"
[1] "150 forecasted vs actual:  5.64630878906997 5.64897423816121"
[1] "151 forecasted vs actual:  5.61462107668004 5.62040086571715"
[1] "152 forecasted vs actual:  5.61028134486573 5.61312810638807"
[1] "153 forecasted vs actual:  5.6192357733169 5.63478960316925"
[1] "154 forecasted vs actual:  5.69747220746419 5.7037824746562"
[1] "155 forecasted vs actual:  5.83419807076775 5.84643877505772"
[1] "156 forecasted vs actual:  5.97605690439256 5.99146454710798"
[1] "157 forecasted vs actual:  6.04858907968726 6.03548143252476"
[1] "158 forecasted vs actual:  6.03847106340674 6.04500531403601"
[1] "159 forecasted vs actual:  6.03803100268918 6.03787091992214"
[1] "160 forecasted vs actual:  6.01499239585264 6.02102334934953"
[1] "161 forecasted vs actual:  6.00042376713898 6.00881318544259"
[1] "162 forecasted vs actual:  6.00703534995425 6.00141487796115"
[1] "163 forecasted vs actual:  5.99458761115788 5.99645208861902"
[1] "164 forecasted vs actual:  5.99967610807789 5.98896141688986"
[1] "165 forecasted vs actual:  6.0540075891982 6.0282785202307"
[1] "166 forecasted vs actual:  6.14828161066844 6.15060276844628"
[1] "167 forecasted vs actual:  6.23472045685208 6.24997524225948"
[1] "168 forecasted vs actual:  6.25191475121157 6.24222326545517"
[1] "169 forecasted vs actual:  6.20338150245014 6.19644412779452"
[1] "170 forecasted vs actual:  6.11481086978415 6.10702288774225"
[1] "171 forecasted vs actual:  5.97379885610227 5.98141421125448"
[1] "172 forecasted vs actual:  5.83429456029259 5.8406416573734"
[1] "173 forecasted vs actual:  5.72035824438668 5.71702770140622"
[1] "174 forecasted vs actual:  5.64049536299205 5.67332326717149"
[1] "175 forecasted vs actual:  5.64182169701764 5.64190707093811"
[1] "176 forecasted vs actual:  5.61919547822369 5.62762111369064"
[1] "177 forecasted vs actual:  5.6284507659428 5.63121178182137"
[1] "178 forecasted vs actual:  5.6898422309344 5.7037824746562"
[1] "179 forecasted vs actual:  5.83361315105018 5.85507192220243"
[1] "180 forecasted vs actual:  5.98207741226146 6.00635315960173"
[1] "181 forecasted vs actual:  6.06344031223444 6.04500531403601"
[1] "182 forecasted vs actual:  6.0457360989257 6.06145691892802"
[1] "183 forecasted vs actual:  6.06398394599182 6.05208916892442"
[1] "184 forecasted vs actual:  6.02950235499388 6.03548143252476"
[1] "185 forecasted vs actual:  6.01431272175774 6.02344759296103"
[1] "186 forecasted vs actual:  6.0206796088239 6.02344759296103"
[1] "187 forecasted vs actual:  6.01833545710157 6.02102334934953"
[1] "188 forecasted vs actual:  6.02087217505518 6.02344759296103"
[1] "189 forecasted vs actual:  6.08698778268471 6.05443934626937"
[1] "190 forecasted vs actual:  6.16663015318166 6.16120732169508"
