,x,
1,21.71527507,21.72556098
2,20.8563902,20.59126028
3,19.36769281,19.28730152
4,17.97916769,17.8325545
5,16.91033252,16.73320053
6,16.1706056,16.18641406
7,16.0376681,15.96871942
8,15.91527424,15.90597372
9,15.97497489,16.03121954
10,16.48010191,16.70329309
11,17.81931012,17.94435844
12,19.05698994,19.54482029
13,20.05086666,19.84943324
14,19.8901447,19.89974874
15,19.82235056,19.87460691
16,19.7130649,19.74841766
17,19.54846143,19.62141687
18,19.51079836,19.72308292
19,19.74914476,19.59591794
20,19.55698328,19.74841766
21,20.59174672,20.34698995
22,21.86094846,21.54065923
23,22.05077589,22.29349681
24,22.31610664,22.18107301
25,21.80997329,21.77154106
26,20.99297364,20.78460969
27,19.56606655,19.46792233
28,18.10559338,17.97220076
29,16.98502065,16.73320053
30,16.11269363,16.21727474
31,16.0918372,16
32,15.96774471,15.87450787
33,15.93306313,16.0623784
34,16.56803962,16.61324773
35,17.7529213,18.08314132
36,19.38977791,19.72308292
37,20.22195046,20.14944168
38,20.09970814,20.32240143
39,20.2448943,20.27313493
40,19.96448038,20.09975124
41,19.84080724,20.04993766
42,19.94675692,20.02498439
43,19.92817059,20.1246118
44,20.12868627,20.27313493
45,20.92653996,20.61552813
46,21.81474451,21.61018278
47,22.13357741,22.38302929
48,22.45453959,22.27105745
49,21.85009288,21.86321111
50,21.12325047,20.92844954
51,19.58544221,19.57038579
52,18.17405769,18.08314132
53,17.07561319,17.05872211
54,16.46227414,16.40121947
55,16.16447883,16.1245155
56,16.06739858,16.1245155
57,16.18649241,16.30950643
58,16.84020952,16.76305461
59,17.95556372,18.16590212
60,19.38062767,19.77371993
61,20.27703946,20.0748599
62,20.07395981,20.174241
63,20.10996766,20.0748599
64,19.85257226,19.84943324
65,19.57517236,19.49358869
66,19.44849009,19.46792233
67,19.44167473,19.39071943
68,19.45825214,19.59591794
69,20.43444093,20.19900988
70,21.46894301,21.61018278
71,22.49243676,22.53885534
72,22.49745706,22.44994432
73,21.96835169,21.97726098
74,21.1024273,21.07130751
75,19.68738862,19.8242276
76,18.45321916,18.41195264
77,17.37457241,17.40689519
78,16.7496997,16.76305461
79,16.47003389,16.52271164
80,16.46587762,16.30950643
81,16.30954895,16.46207763
82,16.98276016,16.79285562
83,17.95121203,17.52141547
84,18.62250674,18.43908891
85,18.92547472,19.5192213
86,19.9431622,20.37154879
87,20.49999121,20.78460969
88,20.6039619,20.97617696
89,20.6746052,20.88061302
90,20.73260571,20.80865205
91,20.72679764,20.61552813
92,20.62161375,20.59126028
93,21.1075676,20.85665361
94,21.98057254,21.9317122
95,22.7487516,22.75961335
96,22.69751931,22.60530911
97,22.10846238,22.20360331
98,21.36481241,21.40093456
99,20.14030499,20.19900988
100,18.73635368,18.89444363
101,17.86170471,17.8325545
102,17.14509485,17.11724277
103,16.74080091,16.73320053
104,16.62561926,16.58312395
105,16.65560599,16.61324773
106,17.09878046,16.82260384
107,17.95546566,17.32050808
108,18.46364135,17.88854382
109,18.3493525,18.65475811
110,18.98132197,19.23538406
111,19.51381277,19.33907961
112,19.1541033,19.28730152
113,19.1250838,19.46792233
114,19.54774356,19.4422221
115,19.381315,19.36491673
116,19.36695129,19.26136028
117,19.98210581,19.54482029
118,20.81082718,20.80865205
119,21.56528826,22.04540769
120,22.11769694,22.13594362
121,21.62582325,21.81742423
122,21.03161671,21.04756518
123,19.78194551,19.77371993
124,18.39284727,18.43908891
125,17.38825494,17.34935157
126,16.6750534,16.79285562
127,16.53590427,16.46207763
128,16.37846465,16.40121947
129,16.42225871,16.55294536
130,17.07993063,17.17556404
131,18.35705046,18.52025918
132,19.78963025,19.8242276
