,"""x"""
1,1.199509045
2,1.202400905
3,10.72562199
4,10.21629757
5,7.758083138
6,6.120515239
7,5.082993527
8,12.02709718
9,9.052259973
10,0.706830578
11,2.070674804
12,9.127481391
13,9.466065808
14,4.103229164
15,0.205157616
16,2.13160084
17,0.851258544
18,0.835224649
19,0.849434261
20,6.77174813
21,8.715998025
22,8.157459261
23,5.183726345
24,4.204343283
25,0.815468941
26,10.83144974
27,10.69669687
28,0.088329818
29,6.869124762
30,7.785662705
31,9.550221427
32,6.524810519
33,1.479671358
34,5.076024131
35,9.458493393
36,9.067549517
37,4.481159368
38,0.899176127
39,7.946276194
40,10.15291078
41,6.721932121
42,4.202402724
43,4.547993337
44,10.61114
45,9.054737576
46,9.66113553
47,7.968416928
48,6.90287997
49,9.683391241
50,8.847907083
51,0.998826419
52,1.599172917
53,8.487398937
54,9.26799944
55,3.024159287
56,1.839211929
57,5.062072697
58,8.37247348
59,8.460340489
60,-2.012757814
61,-0.103555953
62,2.56084035
63,0.970651466
64,0.930851341
65,0.951705812
66,0.941259907
67,-1.347005143
68,-2.35712712
69,-1.171477
70,0.170815164
71,0.777795242
72,-0.800275753
73,-0.492050214
74,0.584343034
75,0.748352101
76,0.959120845
77,0.644157438
78,0.846504478
79,0.773630116
80,0.902950322
81,0.749889641
82,0.791134184
83,0.774169442
84,0.002067769
85,-1.388507066
86,0.512425235
87,1.029476253
88,-1.464088556
89,-1.016873871
90,0.96571899
91,0.129540472
92,-0.048775057
93,-0.426494215
94,-0.907432289
95,0.012955337
96,2.01E-07
97,3.591797669
98,-0.222676663
99,0.000108894
100,8.64E-05
101,-1.467814794
102,3.801059423
103,1.51E-08
104,3.065943325
105,12.53476764
106,0.278832485
107,-3.146033334
108,-1.2884282
109,-0.216928728
110,2.026530564
111,2.506814471
112,0.780899686
113,1.30759907
114,1.811279024
115,0.907087651
116,0.296850612
117,1.472081791
118,-0.829866766
119,2.75313142
120,-0.079664246
121,2.090748691
122,4.052188472
123,2.475452667
124,1.173280052
125,0.268835849
126,-0.555322247
127,0.241525755
128,0.340026962
129,0.472502762
130,-0.60145529
131,-2.275483478
132,0.320166035
133,-2.170703928
134,-2.070390045
135,-2.266339198
136,-1.303532948
137,-2.361599846
138,-1.163175307
139,-0.984313391
140,-0.96604449
141,4.31288073
142,8.468237925
143,14.7163071
144,17.88221148
145,10.82332283
146,5.851434129
147,4.856176084
148,2.39443636
149,0.809647959
150,0.588614672
151,0.93173754
152,0.132904197
153,-3.347585829
154,1.450772111
155,0.888509338
156,-0.393196797
157,-0.910978737
158,-0.946834752
159,-0.018777288
160,-1.322099145
161,4.63439031
162,1.331516091
163,0.440170693
164,2.401523442
165,6.851319074
166,9.281911715
167,10.35598665
168,19.82594458
169,11.77186307
170,11.98943851
171,4.768727643
172,3.922631977
173,2.826258462
174,6.438550592
175,12.96368563
176,8.975587607
177,14.21923935
178,9.683253325
179,10.38131469
180,10.60821285
181,14.61789257
182,1.277324948
183,8.09696219
184,-1.796114315
185,-2.941734132
186,7.317759373
187,3.552572799
188,9.74692344
189,17.6808428
190,45.73314536
191,50.17575674
192,45.21529166
193,50.01684654
194,53.91904802
195,54.7914438
196,55.87275585
197,49.23966834
198,18.46307108
199,18.98559173
200,12.52272999
201,9.792650894
202,17.49338307
203,15.70473055
204,18.34680946
205,10.00654136
206,14.28016115
207,1.538445152
208,1.702968123
209,0.833643732
210,-1.785133872
211,0.93942417
212,1.427609693
213,0.9328608
214,1.058804964
215,1.319127852
216,0.992050232
217,0.264711136
218,-0.202506225
219,-0.488944651
220,1.370645576
221,-0.205065606
222,2.478755845
223,1.114938755
224,1.110918
225,0.692118326
226,0.306066432
227,1.424946178
228,0.850050114
229,1.064612349
230,0.207028008
231,-1.647857813
232,0.639139752
233,0.794783047
234,1.034110918
235,0.935363293
236,0.918875858
237,0.937888502
238,-0.016569851
239,0.937248352
240,0.925143372
241,0.482578709
242,0.561554143
243,0.729039933
244,0.703183804
245,0.819492505
246,0.553886108
247,0.602350458
248,-0.625565878
249,-0.691477992
250,0.525502044
251,0.962764323
252,0.924760593
253,0.697070652
254,0.820861289
255,-0.727961874
256,0.22678927
257,0.770935768
258,0.741431253
259,-0.453180333
260,-0.256244618
261,0.695931815
262,-0.390719448
263,0.702214345
264,0.819793655
265,0.152446109
266,0.628441987
267,0.565923933
268,0.670711813
269,0.691778159
270,0.616132788
271,0.599619482
272,0.106082607
273,0.554032562
274,0.519782525
275,0.479574557
276,0.442606055
277,0.51577263
278,0.43839105
279,0.477152835
280,0.521446937
281,0.560189891
282,0.590610524
283,0.608448071
284,0.606622863
285,0.579395203
286,0.527366397
287,0.450865146
288,0.382774787
289,0.329637859
290,0.291297382
291,0.267112019
292,0.256196262
293,0.254739058
294,0.265531445
295,0.352730452
296,0.446009448
297,0.47189768
298,0.237759629
299,0.364198354
300,0.454971414
301,0.908453307
302,0.717675101
303,0.602536745
304,0.518066761
305,0.386220716
306,0.440994763
307,0.461308668
308,0.51972996
309,0.367631174
310,0.319288025
311,0.436403263
312,0.487852036
313,0.564221132
314,-0.373441916
315,0.457009299
316,0.451226488
317,0.381724596
318,0.403353723
319,0.311799381
320,0.257355075
321,0.210297924
322,0.180069257
323,0.166112911
324,-0.023760313
325,0.192749974
326,0.241518599
327,0.2999315
328,0.361973689
329,0.404979344
330,0.408595352
331,0.358124659
332,0.215945976
333,0.293186547
334,0.263997741
335,0.464781008
336,0.666529107
337,0.589178626
338,0.603960661
339,0.645858966
340,0.346488602
341,0.35117399
342,0.430078387
343,0.519417181
344,0.326085434
345,0.315450106
346,0.360696467
347,0.323281493
348,0.280937063
349,0.239654849
350,0.200728643
351,0.171504445
352,0.153490787
353,0.142370862
354,0.143769319
355,0.15660749
356,0.183075722
357,0.221590114
358,0.268533446
359,0.317997418
360,0.354336243
361,0.356805072
362,0.332694089
363,0.291702871
364,0.241502472
365,0.185607795
366,0.413025003
367,0.285493092
368,0.277406797
369,0.292788449
370,-0.849598958
371,0.232428546
372,0.434914546
373,0.419300581
374,0.253806116
375,0.063125318
376,0.036719789
377,0.016308316
378,0.013013697
379,0.050109055
380,0.095113103
381,-0.746773162
382,-1.194095425
383,0.093221706
384,1.014673472
385,-1.429080503
386,0.001228655
387,0.000376362
388,8.69E-05
389,0.022616108
390,-0.605242868
391,-1.185620714
392,0
393,-2.65288153
394,-3.223531669
395,-2.759286139
396,-6.97E-09
397,0.108568195
398,0.089283407
399,0.134710534
400,0.36714333
401,-0.394831436
402,0.113917175
403,0.282642856
404,0.13044489
405,0.142811103
406,0.162238195
407,0.006984739
408,1.81E-05
409,-0.557668725
410,0.276387457
411,0.314727805
412,0.181247811
413,0.085696605
414,0.036304251
415,0.017325755
416,0.011009406
417,0.192024805
418,0.162890757
419,-0.729569957
420,0.28175131
421,0.319065093
422,-0.80053286
423,0.003409088
424,-0.200935556
425,0.666503181
426,0.058406794
427,0.085502347
428,0.121250943
429,0.18476642
430,0.148968303
